DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-70.5,-140.0,69.5,-81.5,-132.0,50.5
-78.5,-110.0,31.5,-83.0,-127.0,44.0
-130.0,-98.0,-32.0,-139.0,-105.0,-34.0
-81.5,-92.0,10.5,-81.0,-90.5,9.5
-138.0,-122.5,-15.5,-148.0,-123.0,-25.0
-78.0,-88.5,10.5,-82.0,-98.5,16.5
-83.0,-86.0,3.0,-96.5,-97.5,1.0
-142.0,-94.5,-47.5,-146.0,-96.0,-50.0
-86.0,-93.5,7.5,-94.5,-98.0,3.5
-133.0,-107.0,-26.0,-141.0,-109.0,-32.0
-87.0,-94.5,7.5,-92.5,-94.5,2.0
-123.0,-98.5,-24.5,-133.0,-96.5,-36.5
-75.0,-87.5,12.5,-72.0,-99.0,27.0
-141.0,-100.0,-41.0,-153.0,-111.0,-42.0
-148.0,-105.0,-43.0,-154.0,-112.5,-41.5
-63.5,-102.5,39.0,-69.0,-103.5,34.5
-121.0,-114.5,-6.5,-123.0,-118.5,-4.5
-73.5,-90.0,16.5,-82.0,-99.0,17.0
-116.0,-118.5,2.5,-125.0,-120.5,-4.5
-137.0,-84.0,-53.0,-141.0,-90.0,-51.0
-65.0,-109.0,44.0,-67.5,-110.5,43.0
-82.5,-81.0,-1.5,-84.5,-86.0,1.5
-61.0,-84.0,23.0,-60.5,-90.0,29.5
-137.0,-100.5,-36.5,-149.0,-100.5,-48.5
-127.0,-93.5,-33.5,-134.0,-90.0,-44.0
-75.0,-61.75,-13.25,-80.5,-59.5,-21.0
-59.25,-96.0,36.75,-67.0,-98.5,31.5
-119.5,-88.0,-31.5,-119.0,-88.5,-30.5
-70.0,-103.5,33.5,-71.0,-97.0,26.0
-150.0,-114.0,-36.0,-159.0,-115.0,-44.0
-171.0,-104.0,-67.0,-176.0,-104.5,-71.5
-76.5,-95.0,18.5,-78.5,-97.0,18.5
-86.0,-90.5,4.5,-95.0,-92.5,-2.5
-30.125,-127.0,96.875,-30.5,-125.0,94.5
-74.0,-102.0,28.0,-80.5,-101.5,21.0
-106.5,-87.0,-19.5,-111.5,-94.0,-17.5
-83.0,-115.0,32.0,-89.5,-116.0,26.5
-79.0,-130.0,51.0,-84.0,-137.0,53.0
-113.5,-85.5,-28.0,-122.5,-88.0,-34.5
-144.0,-109.0,-35.0,-146.0,-109.5,-36.5
-72.5,-107.5,35.0,-74.5,-109.0,34.5
-68.0,-117.0,49.0,-73.0,-113.5,40.5
-91.5,-103.0,11.5,-100.0,-109.5,9.5
-76.0,-106.0,30.0,-82.0,-98.0,16.0
-111.5,-98.0,-13.5,-124.5,-98.5,-26.0
-82.5,-99.5,17.0,-89.0,-96.5,7.5
-135.0,-106.0,-29.0,-140.0,-106.5,-33.5
-76.0,-109.0,33.0,-79.0,-105.0,26.0
-121.5,-78.5,-43.0,-131.0,-72.5,-58.5
-30.0,-72.5,42.5,-30.375,-72.5,42.125
