DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-80.0,-135.0,55.0,-89.0,-132.0,43.0
-94.5,-92.0,-2.5,-110.5,-96.0,-14.5
-76.0,-131.0,55.0,-81.5,-140.0,58.5
-67.5,-126.5,59.0,-70.5,-117.5,47.0
-83.0,-137.0,54.0,-90.0,-148.0,58.0
-81.5,-102.5,21.0,-86.0,-104.5,18.5
-70.0,-138.0,68.0,-76.5,-140.0,63.5
-69.0,-152.0,83.0,-75.5,-154.0,78.5
-78.0,-116.5,38.5,-83.5,-115.0,31.5
-84.0,-133.0,49.0,-84.5,-142.0,57.5
-78.5,-125.5,47.0,-82.5,-122.0,39.5
-68.0,-120.5,52.5,-70.0,-130.0,60.0
-83.0,-98.0,15.0,-92.5,-87.5,-5.0
-82.0,-142.0,60.0,-96.5,-154.0,57.5
-94.0,-146.0,52.0,-101.5,-151.0,49.5
-77.5,-103.0,25.5,-89.0,-101.5,12.5
-80.0,-121.5,41.5,-86.0,-124.0,38.0
-71.0,-109.5,38.5,-78.5,-112.0,33.5
-82.5,-121.0,38.5,-92.0,-130.0,38.0
-65.5,-139.0,73.5,-75.5,-143.0,67.5
-82.0,-97.0,15.0,-89.0,-96.0,7.0
-73.0,-103.5,30.5,-79.5,-101.0,21.5
-70.0,-79.5,9.5,-77.5,-71.5,-6.0
-76.5,-144.0,67.5,-77.0,-154.0,77.0
-65.5,-142.0,76.5,-74.5,-149.0,74.5
-56.0,-129.0,73.0,-52.25,-124.0,71.75
-78.0,-89.5,11.5,-83.5,-93.5,10.0
-83.5,-123.5,40.0,-84.5,-121.5,37.0
-80.0,-95.0,15.0,-83.5,-105.0,21.5
-88.0,-151.0,63.0,-93.5,-159.0,65.5
-93.5,-174.0,80.5,-93.0,-178.0,85.0
-77.0,-127.0,50.0,-82.0,-117.5,35.5
-87.5,-138.0,50.5,-91.5,-134.0,42.5
-86.5,-30.25,-56.25,-92.0,-30.625,-61.375
-82.5,-147.0,64.5,-85.0,-134.0,49.0
-71.5,-117.0,45.5,-84.0,-121.0,37.0
-84.0,-132.0,48.0,-94.0,-134.0,40.0
-100.0,-109.0,9.0,-111.5,-112.5,1.0
-66.0,-119.5,53.5,-72.5,-128.0,55.5
-96.0,-144.0,48.0,-97.5,-146.0,48.5
-83.0,-126.5,43.5,-85.5,-116.5,31.0
-70.5,-118.5,48.0,-76.0,-125.5,49.5
-88.5,-140.0,51.5,-94.5,-133.0,38.5
-78.5,-115.0,36.5,-77.5,-115.0,37.5
-86.5,-113.0,26.5,-86.5,-125.5,39.0
-68.0,-146.0,78.0,-69.5,-136.0,66.5
-82.5,-131.0,48.5,-87.0,-136.0,49.0
-70.0,-124.5,54.5,-73.0,-125.0,52.0
-48.75,-126.0,77.25,-53.0,-135.0,82.0
-57.0,-29.875,-27.125,-61.25,-30.375,-30.875
