DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-85.0,-112.5,27.5,-95.0,-122.5,27.5
-107.5,-114.5,7.0,-117.0,-124.0,7.0
-109.5,-135.0,25.5,-117.0,-146.0,29.0
-90.5,-104.5,14.0,-107.0,-123.0,16.0
-96.0,-114.0,18.0,-104.0,-121.5,17.5
-92.5,-120.5,28.0,-112.5,-134.0,21.5
-99.0,-116.5,17.5,-110.0,-136.0,26.0
-84.5,-120.0,35.5,-95.0,-132.0,37.0
-112.5,-109.5,-3.0,-127.5,-129.0,1.5
-95.0,-105.5,10.5,-108.5,-114.5,6.0
-91.5,-100.0,8.5,-114.0,-121.0,7.0
-90.5,-124.5,34.0,-115.5,-143.0,27.5
-98.5,-120.5,22.0,-115.0,-135.0,20.0
-92.0,-102.5,10.5,-120.0,-123.0,3.0
-96.5,-91.5,-5.0,-107.5,-105.5,-2.0
-106.5,-97.0,-9.5,-114.5,-108.0,-6.5
-95.0,-90.0,-5.0,-122.5,-107.5,-15.0
-100.5,-117.0,16.5,-120.0,-135.0,15.0
-80.5,-111.5,31.0,-92.5,-133.0,40.5
-98.0,-115.0,17.0,-109.0,-135.0,26.0
-108.0,-111.5,3.5,-120.0,-122.5,2.5
-105.5,-105.0,-0.5,-123.5,-120.5,-3.0
-89.5,-120.5,31.0,-112.0,-137.0,25.0
-90.5,-102.5,12.0,-112.5,-123.0,10.5
-71.0,-89.5,18.5,-87.5,-111.0,23.5
-85.0,-138.0,53.0,-102.5,-156.0,53.5
-92.0,-109.0,17.0,-106.5,-113.0,6.5
-110.5,-112.5,2.0,-127.0,-121.5,-5.5
-95.0,-96.0,1.0,-105.5,-110.0,4.5
-99.0,-113.5,14.5,-109.0,-129.0,20.0
-91.0,-96.0,5.0,-105.5,-115.0,9.5
-94.5,-107.5,13.0,-103.0,-117.5,14.5
-85.5,-105.5,20.0,-98.5,-121.5,23.0
-107.0,-110.5,3.5,-132.0,-121.0,-11.0
-86.0,-106.5,20.5,-106.0,-129.0,23.0
-92.5,-110.0,17.5,-107.5,-125.0,17.5
-92.5,-128.0,35.5,-102.0,-144.0,42.0
-88.5,-132.0,43.5,-96.5,-146.0,49.5
-92.5,-94.5,2.0,-102.0,-106.0,4.0
-104.5,-121.5,17.0,-124.5,-132.0,7.5
-134.0,-124.0,-10.0,-155.0,-137.0,-18.0
-93.0,-97.5,4.5,-99.0,-103.0,4.0
-81.5,-118.5,37.0,-93.5,-133.0,39.5
-83.0,-115.5,32.5,-100.0,-136.0,36.0
-108.0,-97.5,-10.5,-124.5,-109.5,-15.0
-79.5,-95.5,16.0,-97.5,-113.0,15.5
-87.5,-104.0,16.5,-114.0,-121.0,7.0
-87.5,-105.0,17.5,-105.5,-121.0,15.5
-95.5,-98.0,2.5,-108.5,-107.0,-1.5
-92.5,-97.0,4.5,-113.5,-112.0,-1.5
-95.0,-103.5,8.5,-115.0,-116.5,1.5
