DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-105.5,-101.0,-4.5,-114.5,-105.5,-9.0
-106.5,-120.0,13.5,-114.5,-121.5,7.0
-124.5,-120.5,-4.0,-134.0,-121.5,-12.5
-96.5,-92.0,-4.5,-114.0,-107.0,-7.0
-102.0,-114.0,12.0,-108.5,-118.0,9.5
-109.5,-101.0,-8.5,-124.0,-114.0,-10.0
-108.0,-115.5,7.5,-127.0,-119.5,-7.5
-111.0,-91.0,-20.0,-122.0,-99.0,-23.0
-100.5,-144.0,43.5,-117.5,-147.0,29.5
-100.5,-126.5,26.0,-107.0,-129.0,22.0
-86.5,-100.5,14.0,-107.5,-118.0,10.5
-113.5,-103.0,-10.5,-130.0,-119.0,-11.0
-107.0,-134.0,27.0,-119.0,-140.0,21.0
-93.5,-98.5,5.0,-111.5,-122.0,10.5
-83.0,-113.0,30.0,-94.0,-112.5,18.5
-90.5,-141.0,50.5,-100.0,-137.0,37.0
-83.5,-108.5,25.0,-98.5,-130.0,31.5
-113.5,-113.5,0.0,-131.0,-131.0,0.0
-100.0,-84.0,-16.0,-119.0,-93.0,-26.0
-106.0,-135.0,29.0,-123.5,-135.0,11.5
-102.5,-108.0,5.5,-113.0,-115.5,2.5
-94.0,-112.0,18.0,-109.0,-126.0,17.0
-108.0,-99.0,-9.0,-122.5,-119.0,-3.5
-87.5,-121.0,33.5,-107.5,-128.0,20.5
-77.0,-71.5,-5.5,-97.0,-88.0,-9.0
-125.5,-85.0,-40.5,-144.0,-102.5,-41.5
-103.0,-100.0,-3.0,-106.0,-108.5,2.5
-103.0,-135.0,32.0,-110.0,-146.0,36.0
-88.5,-105.0,16.5,-101.0,-112.5,11.5
-105.5,-115.0,9.5,-119.0,-120.5,1.5
-88.5,-132.0,43.5,-104.5,-132.0,27.5
-97.0,-95.5,-1.5,-107.0,-104.0,-3.0
-96.5,-95.0,-1.5,-112.0,-103.0,-9.0
-95.0,-115.0,20.0,-105.5,-134.0,28.5
-94.5,-126.5,32.0,-114.5,-129.0,14.5
-100.5,-100.5,0.0,-113.5,-111.0,-2.5
-121.5,-105.0,-16.5,-132.0,-112.5,-19.5
-121.0,-90.0,-31.0,-134.0,-99.0,-35.0
-89.0,-107.0,18.0,-99.5,-111.0,11.5
-111.5,-107.5,-4.0,-121.0,-124.0,3.0
-117.5,-167.0,49.5,-130.0,-176.0,46.0
-88.0,-98.0,10.0,-93.0,-101.5,8.5
-110.0,-85.5,-24.5,-123.0,-94.0,-29.0
-102.0,-86.5,-15.5,-122.5,-102.0,-20.5
-89.0,-112.5,23.5,-99.5,-123.0,23.5
-85.5,-116.5,31.0,-101.0,-121.5,20.5
-91.0,-107.5,16.5,-105.0,-125.5,20.5
-95.0,-120.0,25.0,-109.5,-128.0,18.5
-89.0,-107.0,18.0,-98.5,-112.0,13.5
-88.5,-100.5,12.0,-103.5,-114.0,10.5
-94.0,-101.0,7.0,-108.0,-117.0,9.0
-97.5,-127.0,29.5,-114.5,-142.0,27.5
-85.0,-145.0,60.0,-99.0,-149.0,50.0
-96.5,-98.0,1.5,-115.0,-112.5,-2.5
-98.0,-124.0,26.0,-111.0,-139.0,28.0
-81.0,-94.0,13.0,-95.0,-96.0,1.0
-87.5,-83.5,-4.0,-104.5,-89.0,-15.5
-103.5,-103.5,0.0,-123.5,-112.0,-11.5
-114.0,-122.5,8.5,-123.5,-128.0,4.5
-83.0,-107.5,24.5,-91.5,-106.5,15.0
-106.5,-133.0,26.5,-121.5,-136.0,14.5
-96.5,-107.0,10.5,-106.5,-117.0,10.5
-108.0,-122.5,14.5,-116.0,-134.0,18.0
-96.5,-78.5,-18.0,-106.0,-88.5,-17.5
-110.5,-139.0,28.5,-119.5,-145.0,25.5
-89.0,-118.0,29.0,-98.5,-121.5,23.0
-105.5,-110.5,5.0,-115.0,-119.5,4.5
-108.0,-112.5,4.5,-116.5,-129.0,12.5
-101.5,-94.5,-7.0,-115.5,-97.5,-18.0
-91.0,-128.0,37.0,-106.0,-133.0,27.0
-89.5,-108.5,19.0,-99.5,-115.5,16.0
-92.5,-105.0,12.5,-108.5,-115.0,6.5
-100.0,-85.0,-15.0,-108.0,-96.5,-11.5
-93.0,-101.5,8.5,-110.0,-114.0,4.0
-95.5,-115.0,19.5,-105.0,-116.0,11.0
-122.0,-110.0,-12.0,-133.0,-121.0,-12.0
-106.0,-98.0,-8.0,-123.5,-110.5,-13.0
-109.0,-118.5,9.5,-124.5,-129.0,4.5
-94.0,-104.5,10.5,-105.5,-118.5,13.0
-95.0,-105.0,10.0,-100.0,-103.5,3.5
-119.5,-102.5,-17.0,-126.0,-112.5,-13.5
-97.5,-133.0,35.5,-105.5,-139.0,33.5
-87.5,-122.5,35.0,-100.0,-123.5,23.5
-105.0,-111.0,6.0,-114.0,-123.5,9.5
-92.0,-96.5,4.5,-106.0,-112.5,6.5
-117.0,-115.0,-2.0,-128.0,-110.5,-17.5
-104.0,-78.5,-25.5,-120.5,-100.0,-20.5
-73.5,-131.0,57.5,-82.0,-134.0,52.0
-92.0,-125.0,33.0,-107.5,-124.5,17.0
-89.5,-87.0,-2.5,-104.0,-98.5,-5.5
-114.0,-98.5,-15.5,-126.5,-110.0,-16.5
-84.5,-122.0,37.5,-102.5,-135.0,32.5
-92.5,-135.0,42.5,-107.0,-137.0,30.0
-100.5,-107.5,7.0,-116.0,-117.0,1.0
-115.0,-109.5,-5.5,-126.0,-118.0,-8.0
-102.0,-102.0,0.0,-112.0,-107.0,-5.0
-104.0,-126.0,22.0,-117.5,-141.0,23.5
-105.0,-128.0,23.0,-119.5,-137.0,17.5
-95.0,-120.0,25.0,-98.5,-121.0,22.5
-84.5,-85.5,1.0,-96.5,-91.5,-5.0
-110.0,-111.5,1.5,-121.0,-119.0,-2.0
-96.0,-98.0,2.0,-108.5,-103.5,-5.0
-102.0,-125.5,23.5,-114.0,-134.0,20.0
-96.0,-93.5,-2.5,-113.5,-100.5,-13.0
-83.5,-126.0,42.5,-93.0,-127.5,34.5
-94.5,-108.0,13.5,-104.0,-117.0,13.0
-103.0,-152.0,49.0,-120.0,-152.0,32.0
-104.0,-129.0,25.0,-113.5,-134.0,20.5
-92.5,-122.0,29.5,-109.5,-134.0,24.5
-98.0,-102.5,4.5,-112.5,-123.0,10.5
-90.5,-95.0,4.5,-102.0,-119.5,17.5
-102.0,-100.5,-1.5,-120.5,-115.0,-5.5
-94.0,-98.5,4.5,-104.5,-97.5,-7.0
-104.0,-104.0,0.0,-111.0,-112.0,1.0
-100.0,-104.5,4.5,-110.0,-115.0,5.0
-88.5,-98.0,9.5,-105.0,-108.5,3.5
-86.5,-87.0,0.5,-96.5,-96.0,-0.5
-101.5,-113.0,11.5,-107.0,-127.0,20.0
-123.0,-106.5,-16.5,-135.0,-119.0,-16.0
-110.5,-147.0,36.5,-124.0,-151.0,27.0
-110.0,-120.5,10.5,-116.5,-118.0,1.5
-108.0,-87.0,-21.0,-116.0,-88.5,-27.5
-121.5,-110.5,-11.0,-135.0,-116.5,-18.5
-93.5,-112.5,19.0,-102.5,-122.5,20.0
-87.5,-100.5,13.0,-102.0,-110.0,8.0
-75.0,-96.0,21.0,-87.5,-107.5,20.0
-98.5,-130.0,31.5,-109.0,-134.0,25.0
-81.5,-102.5,21.0,-91.0,-106.5,15.5
