DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-100.5,-162.0,61.5,-104.0,-169.0,65.0
-83.0,-170.0,87.0,-90.5,-172.0,81.5
-115.0,-152.0,37.0,-116.0,-149.0,33.0
-107.0,-161.0,54.0,-108.5,-185.0,76.5
-101.5,-134.0,32.5,-105.5,-145.0,39.5
-107.5,-170.0,62.5,-110.5,-186.0,75.5
-98.5,-176.0,77.5,-113.0,-174.0,61.0
-101.5,-161.0,59.5,-104.0,-171.0,67.0
-100.5,-164.0,63.5,-104.5,-168.0,63.5
-89.0,-148.0,59.0,-85.5,-165.0,79.5
-104.5,-156.0,51.5,-106.5,-164.0,57.5
-91.5,-190.0,98.5,-90.5,-205.0,114.5
-125.5,-181.0,55.5,-123.5,-192.0,68.5
-140.0,-151.0,11.0,-148.0,-171.0,23.0
-113.5,-149.0,35.5,-114.5,-157.0,42.5
-116.5,-167.0,50.5,-122.0,-195.0,73.0
-95.0,-180.0,85.0,-103.5,-197.0,93.5
-87.5,-161.0,73.5,-93.0,-164.0,71.0
-111.5,-183.0,71.5,-118.5,-194.0,75.5
-107.5,-151.0,43.5,-111.0,-155.0,44.0
-80.5,-154.0,73.5,-87.0,-163.0,76.0
-106.5,-158.0,51.5,-109.0,-161.0,52.0
-106.0,-155.0,49.0,-119.5,-163.0,43.5
-104.0,-158.0,54.0,-110.0,-169.0,59.0
-89.0,-173.0,84.0,-99.0,-185.0,86.0
-102.0,-134.0,32.0,-113.5,-143.0,29.5
-95.5,-173.0,77.5,-105.5,-176.0,70.5
-94.0,-164.0,70.0,-95.0,-162.0,67.0
-90.5,-153.0,62.5,-96.0,-153.0,57.0
-83.5,-154.0,70.5,-90.5,-161.0,70.5
-93.5,-174.0,80.5,-101.0,-173.0,72.0
-110.0,-157.0,47.0,-115.5,-159.0,43.5
-109.0,-150.0,41.0,-118.5,-169.0,50.5
-99.5,-159.0,59.5,-104.5,-163.0,58.5
-61.75,-167.0,105.25,-64.0,-175.0,111.0
-95.5,-152.0,56.5,-102.0,-169.0,67.0
-68.0,-165.0,97.0,-74.5,-167.0,92.5
-68.5,-153.0,84.5,-68.0,-157.0,89.0
-103.0,-153.0,50.0,-107.0,-151.0,44.0
-73.0,-156.0,83.0,-83.0,-180.0,97.0
-94.5,-149.0,54.5,-99.5,-169.0,69.5
-101.0,-194.0,93.0,-112.5,-206.0,93.5
-106.0,-156.0,50.0,-114.0,-170.0,56.0
-106.5,-179.0,72.5,-109.5,-191.0,81.5
-98.5,-143.0,44.5,-108.5,-159.0,50.5
-97.0,-146.0,49.0,-104.0,-162.0,58.0
-82.0,-188.0,106.0,-93.5,-196.0,102.5
-88.5,-174.0,85.5,-102.5,-195.0,92.5
-104.5,-167.0,62.5,-113.0,-178.0,65.0
-110.0,-182.0,72.0,-125.0,-184.0,59.0
-64.5,-184.0,119.5,-66.0,-186.0,120.0
-97.5,-183.0,85.5,-111.0,-203.0,92.0
-78.5,-151.0,72.5,-82.0,-156.0,74.0
-76.5,-240.0,163.5,-79.5,-256.0,176.5
-95.5,-163.0,67.5,-105.0,-165.0,60.0
-106.0,-155.0,49.0,-109.5,-163.0,53.5
-98.0,-158.0,60.0,-98.5,-158.0,59.5
-85.0,-158.0,73.0,-89.0,-176.0,87.0
-95.0,-144.0,49.0,-99.5,-144.0,44.5
-97.5,-175.0,77.5,-101.0,-174.0,73.0
-104.0,-192.0,88.0,-113.5,-193.0,79.5
-101.0,-168.0,67.0,-103.5,-178.0,74.5
-114.0,-151.0,37.0,-118.0,-147.0,29.0
-111.5,-152.0,40.5,-123.0,-152.0,29.0
-81.5,-170.0,88.5,-88.0,-165.0,77.0
-78.5,-192.0,113.5,-86.5,-192.0,105.5
-71.0,-149.0,78.0,-81.5,-154.0,72.5
-68.0,-247.0,179.0,-83.5,-253.0,169.5
-72.0,-146.0,74.0,-79.5,-164.0,84.5
-111.5,-141.0,29.5,-117.0,-141.0,24.0
-82.5,-179.0,96.5,-89.0,-173.0,84.0
-81.0,-149.0,68.0,-89.5,-146.0,56.5
-85.5,-175.0,89.5,-95.0,-193.0,98.0
-88.5,-176.0,87.5,-90.5,-185.0,94.5
-87.5,-170.0,82.5,-93.5,-175.0,81.5
-77.5,-134.0,56.5,-72.5,-132.0,59.5
-81.0,-171.0,90.0,-88.5,-177.0,88.5
-73.5,-144.0,70.5,-80.5,-145.0,64.5
-102.0,-145.0,43.0,-107.5,-144.0,36.5
-87.5,-171.0,83.5,-87.0,-173.0,86.0
-79.0,-142.0,63.0,-94.0,-154.0,60.0
-90.5,-144.0,53.5,-94.0,-134.0,40.0
-84.0,-178.0,94.0,-89.0,-178.0,89.0
-79.5,-144.0,64.5,-85.0,-157.0,72.0
-96.0,-147.0,51.0,-102.0,-147.0,45.0
-83.5,-157.0,73.5,-94.0,-171.0,77.0
-105.5,-167.0,61.5,-110.5,-179.0,68.5
-87.5,-156.0,68.5,-93.5,-149.0,55.5
-89.0,-160.0,71.0,-94.0,-155.0,61.0
-95.0,-191.0,96.0,-98.5,-199.0,100.5
-69.0,-136.0,67.0,-70.5,-139.0,68.5
-96.5,-160.0,63.5,-102.5,-157.0,54.5
-94.5,-145.0,50.5,-96.5,-145.0,48.5
-85.0,-155.0,70.0,-89.5,-154.0,64.5
-87.5,-139.0,51.5,-88.5,-155.0,66.5
-83.5,-153.0,69.5,-87.0,-151.0,64.0
-118.0,-172.0,54.0,-123.5,-180.0,56.5
-91.0,-150.0,59.0,-91.5,-167.0,75.5
-103.5,-166.0,62.5,-113.0,-182.0,69.0
-76.5,-158.0,81.5,-88.0,-145.0,57.0
