DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-136.0,-111.5,-24.5,-148.0,-111.5,-36.5
-146.0,-105.0,-41.0,-154.0,-105.5,-48.5
-124.0,-121.0,-3.0,-133.0,-124.0,-9.0
-142.0,-120.0,-22.0,-158.0,-116.5,-41.5
-113.0,-113.0,0.0,-130.0,-113.0,-17.0
-138.0,-114.5,-23.5,-161.0,-117.5,-43.5
-132.0,-134.0,2.0,-145.0,-138.0,-7.0
-136.0,-134.0,-2.0,-154.0,-126.5,-27.5
-131.0,-119.5,-11.5,-137.0,-115.0,-22.0
-119.5,-100.5,-19.0,-135.0,-93.0,-42.0
-127.5,-118.5,-9.0,-141.0,-119.5,-21.5
-155.0,-116.5,-38.5,-172.0,-109.0,-63.0
-138.0,-136.0,-2.0,-157.0,-133.0,-24.0
-133.0,-159.0,26.0,-150.0,-164.0,14.0
-125.5,-143.0,17.5,-139.0,-137.0,-2.0
-134.0,-144.0,10.0,-164.0,-140.0,-24.0
-167.0,-97.0,-70.0,-185.0,-109.0,-76.0
-126.0,-95.5,-30.5,-138.0,-98.5,-39.5
-153.0,-125.5,-27.5,-166.0,-130.0,-36.0
-126.5,-138.0,11.5,-139.0,-135.0,-4.0
-133.0,-98.5,-34.5,-146.0,-103.0,-43.0
-117.5,-135.0,17.5,-123.0,-134.0,11.0
-124.0,-123.5,-0.5,-137.0,-122.5,-14.5
-135.0,-147.0,12.0,-146.0,-141.0,-5.0
-148.0,-97.5,-50.5,-160.0,-105.5,-54.5
-118.0,-143.0,25.0,-125.5,-141.0,15.5
-146.0,-118.0,-28.0,-154.0,-124.5,-29.5
-131.0,-108.5,-22.5,-134.0,-105.5,-28.5
-126.5,-106.0,-20.5,-132.0,-107.0,-25.0
-123.0,-96.5,-26.5,-134.0,-103.0,-31.0
-141.0,-106.0,-35.0,-148.0,-107.5,-40.5
-114.5,-142.0,27.5,-130.0,-142.0,12.0
-134.0,-135.0,1.0,-155.0,-141.0,-14.0
-143.0,-115.5,-27.5,-150.0,-111.5,-38.5
-121.5,-86.0,-35.5,-146.0,-80.5,-65.5
-132.0,-117.5,-14.5,-150.0,-120.0,-30.0
-127.0,-77.0,-50.0,-141.0,-80.5,-60.5
-120.5,-94.5,-26.0,-134.0,-83.0,-51.0
-120.5,-127.0,6.5,-129.0,-128.0,-1.0
-129.0,-84.5,-44.5,-154.0,-90.5,-63.5
-130.0,-118.0,-12.0,-150.0,-118.5,-31.5
-151.0,-132.0,-19.0,-171.0,-127.5,-43.5
-135.0,-122.5,-12.5,-150.0,-123.0,-27.0
-145.0,-139.0,-6.0,-161.0,-134.0,-27.0
-114.5,-141.0,26.5,-133.0,-142.0,9.0
-132.0,-131.0,-1.0,-144.0,-126.5,-17.5
-151.0,-95.0,-56.0,-166.0,-101.5,-64.5
-147.0,-101.5,-45.5,-175.0,-112.0,-63.0
-139.0,-117.0,-22.0,-157.0,-122.0,-35.0
-136.0,-145.0,9.0,-151.0,-146.0,-5.0
-139.0,-79.5,-59.5,-155.0,-80.5,-74.5
-175.0,-102.0,-73.0,-195.0,-113.0,-82.0
-129.0,-87.5,-41.5,-143.0,-86.0,-57.0
-238.0,-81.0,-157.0,-254.0,-84.5,-169.5
-141.0,-106.5,-34.5,-148.0,-112.0,-36.0
-126.0,-150.0,24.0,-144.0,-139.0,-5.0
-121.5,-152.0,30.5,-130.0,-136.0,6.0
-136.0,-118.0,-18.0,-158.0,-114.0,-44.0
-111.0,-135.0,24.0,-121.0,-127.5,6.5
-121.5,-123.0,1.5,-139.0,-119.0,-20.0
-148.0,-128.0,-20.0,-161.0,-125.5,-35.5
-116.5,-139.0,22.5,-136.0,-134.0,-2.0
-122.5,-145.0,22.5,-130.0,-141.0,11.0
-120.0,-142.0,22.0,-129.0,-147.0,18.0
-128.0,-103.0,-25.0,-136.0,-101.0,-35.0
-128.0,-103.0,-25.0,-140.0,-99.5,-40.5
-105.0,-90.5,-14.5,-126.0,-90.5,-35.5
-243.0,-114.0,-129.0,-249.0,-106.5,-142.5
-131.0,-95.5,-35.5,-146.0,-92.5,-53.5
-114.5,-150.0,35.5,-122.0,-147.0,25.0
-132.0,-110.0,-22.0,-145.0,-109.5,-35.5
-99.5,-109.0,9.5,-116.0,-104.5,-11.5
-167.0,-131.0,-36.0,-187.0,-129.0,-58.0
-134.0,-116.0,-18.0,-153.0,-111.0,-42.0
-123.5,-124.5,1.0,-138.0,-122.0,-16.0
-108.0,-105.0,-3.0,-111.5,-88.0,-23.5
-146.0,-95.0,-51.0,-152.0,-97.5,-54.5
-110.5,-124.5,14.0,-128.0,-117.5,-10.5
-117.5,-135.0,17.5,-131.0,-137.0,6.0
-128.0,-122.0,-6.0,-135.0,-110.5,-24.5
-115.0,-90.5,-24.5,-130.0,-100.5,-29.5
-108.5,-135.0,26.5,-115.0,-127.5,12.5
-127.5,-131.0,3.5,-139.0,-124.5,-14.5
-111.5,-122.5,11.0,-132.0,-109.0,-23.0
-106.0,-128.0,22.0,-115.5,-131.0,15.5
-123.0,-127.5,4.5,-138.0,-122.5,-15.5
-165.0,-140.0,-25.0,-178.0,-135.0,-43.0
-109.5,-112.5,3.0,-115.5,-111.0,-4.5
-129.0,-141.0,12.0,-133.0,-133.0,0.0
-148.0,-130.0,-18.0,-166.0,-122.5,-43.5
-110.0,-121.5,11.5,-115.0,-109.0,-6.0
-115.5,-133.0,17.5,-124.5,-126.0,1.5
-123.5,-133.0,9.5,-131.0,-129.0,-2.0
-101.5,-117.0,15.5,-117.0,-116.5,-0.5
-108.5,-115.0,6.5,-118.0,-102.5,-15.5
-114.0,-106.5,-7.5,-128.0,-100.5,-27.5
-137.0,-164.0,27.0,-156.0,-155.0,-1.0
-124.5,-123.5,-1.0,-143.0,-112.0,-31.0
-139.0,-137.0,-2.0,-162.0,-142.0,-20.0
-108.0,-124.0,16.0,-115.0,-114.0,-1.0
