DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-25.125,-159.0,133.875,-57.25,-175.0,117.75
-27.0,-159.0,132.0,-69.0,-142.0,73.0
-52.5,-155.0,102.5,-89.5,-162.0,72.5
-60.25,-177.0,116.75,-109.0,-154.0,45.0
-71.5,-164.0,92.5,-111.5,-144.0,32.5
-57.0,-179.0,122.0,-97.0,-173.0,76.0
-49.0,-205.0,156.0,-85.5,-179.0,93.5
-62.25,-146.0,83.75,-122.0,-160.0,38.0
-30.625,-150.0,119.375,-111.5,-118.5,7.0
-71.5,-134.0,62.5,-113.0,-120.5,7.5
-60.25,-201.0,140.75,-133.0,-210.0,77.0
-25.125,-158.0,132.875,-63.0,-162.0,99.0
-59.0,-193.0,134.0,-135.0,-163.0,28.0
-30.125,-294.0,263.875,-44.25,-218.0,173.75
-11.9375,-144.0,132.0625,-35.0,-130.0,95.0
-59.75,-178.0,118.25,-85.5,-136.0,50.5
-54.25,-110.0,55.75,-110.5,-151.0,40.5
-67.0,-148.0,81.0,-120.5,-122.5,2.0
-26.125,-172.0,145.875,-70.5,-182.0,111.5
-23.25,-328.0,304.75,-55.5,-169.0,113.5
-70.5,-154.0,83.5,-123.5,-175.0,51.5
-64.5,-220.0,155.5,-101.5,-132.0,30.5
-21.25,-165.0,143.75,-45.25,-138.0,92.75
-62.25,-159.0,96.75,-121.5,-188.0,66.5
-57.5,-158.0,100.5,-99.5,-165.0,65.5
-55.25,-137.0,81.75,-106.5,-108.5,2.0
-63.5,-126.0,62.5,-114.5,-125.5,11.0
-55.0,-160.0,105.0,-118.5,-124.5,6.0
-53.5,-180.0,126.5,-114.5,-180.0,65.5
-26.875,-158.0,131.125,-63.75,-148.0,84.25
-31.375,-160.0,128.625,-103.0,-124.0,21.0
-60.0,-139.0,79.0,-98.5,-118.0,19.5
-66.0,-209.0,143.0,-151.0,-164.0,13.0
-65.0,-204.0,139.0,-109.5,-177.0,67.5
-51.25,-190.0,138.75,-97.5,-179.0,81.5
-50.5,-162.0,111.5,-87.5,-142.0,54.5
-28.875,-174.0,145.125,-75.5,-175.0,99.5
-61.5,-154.0,92.5,-93.0,-161.0,68.0
-28.875,-176.0,147.125,-87.0,-155.0,68.0
-53.25,-91.0,37.75,-114.0,-85.0,-29.0
-59.5,-197.0,137.5,-113.5,-205.0,91.5
-55.5,-178.0,122.5,-95.0,-157.0,62.0
-62.75,-173.0,110.25,-110.5,-150.0,39.5
-48.5,-132.0,83.5,-90.0,-110.0,20.0
-59.25,-187.0,127.75,-128.0,-155.0,27.0
-57.25,-177.0,119.75,-87.0,-156.0,69.0
-63.0,-175.0,112.0,-90.5,-134.0,43.5
-55.25,-125.5,70.25,-97.0,-105.0,8.0
-25.0,-171.0,146.0,-70.0,-115.0,45.0
-51.75,-115.0,63.25,-61.0,-118.0,57.0
