d,u,diff
31.75,17.0,14.75
42.0,-19.0,61.0
37.0,7.0,30.0
49.0,-23.0,72.0
40.5,-19.0,59.5
39.75,-6.0,45.75
36.25,-26.0,62.25
59.5,15.0,44.5
80.5,-30.5,111.0
41.0,-14.0,55.0
74.0,11.0,63.0
38.5,3.0,35.5
76.0,-31.0,107.0
14.5,-76.0,90.5
23.0,-15.0,38.0
25.25,-41.0,66.25
55.75,41.0,14.75
53.5,-26.0,79.5
45.5,10.0,35.5
32.75,-159.0,191.75
53.0,21.0,32.0
36.0,-88.0,124.0
24.25,-26.0,50.25
58.75,30.0,28.75
41.5,7.0,34.5
50.75,-28.0,78.75
52.0,-1.0,53.0
63.25,-36.0,99.25
61.5,-1.0,62.5
36.5,-10.0,46.5
72.5,-36.5,109.0
37.75,-20.5,58.25
83.5,-44.0,127.5
45.0,-26.0,71.0
46.0,-11.0,57.0
36.75,-20.0,56.75
47.5,2.0,45.5
31.75,6.0,25.75
57.0,-22.0,79.0
61.5,-6.0,67.5
54.75,7.0,47.75
39.5,-20.0,59.5
47.0,-22.0,69.0
41.75,-22.0,63.75
68.0,-32.0,100.0
30.75,-21.0,51.75
27.5,-41.0,68.5
42.5,-21.5,64.0
45.0,-56.0,101.0
9.75,4.5,5.25
