d,u,diff
29.75,1.0,28.75
56.25,-14.625,70.875
26.5,-42.0,68.5
22.75,-33.0,55.75
35.0,-66.0,101.0
7.5,-36.5,44.0
28.25,-23.0,51.25
31.75,-17.5,49.25
46.5,-51.5,98.0
49.75,-27.5,77.25
45.0,-43.0,88.0
27.0,-17.0,44.0
38.5,-56.5,95.0
25.75,-17.25,43.0
36.5,-19.125,55.625
29.75,-55.5,85.25
58.0,-42.0,100.0
61.0,-20.625,81.625
28.5,-50.5,79.0
12.3125,-33.5,45.8125
3.0,-31.5,34.5
56.0,-36.5,92.5
44.25,-14.375,58.625
65.5,-22.0,87.5
33.0,-39.5,72.5
27.25,-18.75,46.0
52.75,-47.5,100.25
47.5,-11.5,59.0
43.5,-54.0,97.5
53.5,-47.5,101.0
-16.0,-51.5,35.5
31.0,-8.875,39.875
64.0,-40.5,104.5
62.5,-34.5,97.0
39.0,-12.0,51.0
38.75,-34.25,73.0
30.5,-16.75,47.25
60.0,-21.5,81.5
47.5,-47.0,94.5
56.5,-1.25,57.75
48.5,-30.5,79.0
25.0,-44.0,69.0
34.5,-9.0,43.5
19.25,-42.25,61.5
41.0,4.25,36.75
39.75,-21.5,61.25
33.75,4.5,29.25
25.75,-25.5,51.25
12.75,-36.75,49.5
5.75,-39.0,44.75
