DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-56.25,-152.0,95.75,-86.0,-154.0,68.0
-57.25,-46.0,-11.25,-113.5,-31.75,-81.75
-62.5,-137.0,74.5,-88.5,-95.0,6.5
-53.5,-123.5,70.0,-76.5,-90.0,13.5
-68.0,-165.0,97.0,-103.0,-98.5,-4.5
-57.75,-115.5,57.75,-65.5,-78.5,13.0
-56.0,-54.5,-1.5,-84.0,-31.125,-52.875
-58.0,-62.25,4.25,-90.0,-43.75,-46.25
-58.25,-147.0,88.75,-105.0,-95.5,-9.5
-60.0,-116.0,56.0,-109.5,-88.5,-21.0
-65.5,-98.0,32.5,-110.0,-55.75,-54.25
-58.75,-59.5,0.75,-85.5,-42.25,-43.25
-60.0,-141.0,81.0,-98.0,-84.0,-14.0
-47.0,-32.5,-14.5,-73.0,-15.25,-57.75
-75.0,-47.0,-28.0,-112.5,-28.0,-84.5
-43.25,-158.0,114.75,-73.0,-102.5,29.5
-56.75,-131.0,74.25,-114.5,-88.0,-26.5
-50.5,-33.25,-17.25,-111.0,-12.6875,-98.3125
-48.0,-152.0,104.0,-76.5,-101.5,25.0
-14.1875,-99.0,84.8125,-27.0,-66.5,39.5
-75.5,-99.5,24.0,-97.0,-69.0,-28.0
-52.0,-84.5,32.5,-108.5,-47.75,-60.75
-50.75,-40.25,-10.5,-95.0,-25.375,-69.625
-58.0,-103.0,45.0,-124.0,-81.5,-42.5
-62.5,-142.0,79.5,-96.0,-102.0,6.0
-43.25,-33.0,-10.25,-71.0,-14.375,-56.625
-51.0,-137.0,86.0,-104.5,-90.0,-14.5
-61.0,-70.5,9.5,-108.0,-59.25,-48.75
-56.25,-139.0,82.75,-100.0,-84.5,-15.5
-59.25,-159.0,99.75,-112.5,-112.5,0.0
-96.5,-141.0,44.5,-84.5,-90.5,6.0
-52.0,-26.0,-26.0,-83.0,-17.0,-66.0
-56.5,-113.5,57.0,-120.0,-73.0,-47.0
-63.5,-130.0,66.5,-126.0,-95.0,-31.0
-56.5,-91.0,34.5,-95.5,-79.0,-16.5
-59.75,-94.0,34.25,-97.5,-59.75,-37.75
-51.0,-67.5,16.5,-81.5,-52.0,-29.5
-58.75,-104.5,45.75,-119.5,-83.0,-36.5
-47.75,-126.5,78.75,-95.5,-80.0,-15.5
-66.0,-36.5,-29.5,-122.0,-35.0,-87.0
-72.5,-114.0,41.5,-120.0,-84.0,-36.0
-55.75,-114.5,58.75,-81.0,-70.0,-11.0
-56.25,-105.5,49.25,-90.5,-96.0,5.5
-55.5,-103.0,47.5,-75.0,-61.0,-14.0
-42.25,-41.0,-1.25,-82.5,-45.5,-37.0
-53.25,-78.5,25.25,-92.5,-57.0,-35.5
-48.5,-67.5,19.0,-82.0,-72.0,-10.0
-51.0,-106.5,55.5,-77.0,-81.5,4.5
-47.75,-90.0,42.25,-61.0,-53.75,-7.25
-55.5,-139.0,83.5,-68.0,-99.5,31.5
