DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-195.0,-148.0,-47.0,-205.0,-183.0,-22.0
-210.0,-192.0,-18.0,-212.0,-178.0,-34.0
-156.0,-139.0,-17.0,-169.0,-177.0,8.0
-190.0,-232.0,42.0,-194.0,-206.0,12.0
-177.0,-194.0,17.0,-176.0,-206.0,30.0
-197.0,-151.0,-46.0,-207.0,-177.0,-30.0
-200.0,-195.0,-5.0,-200.0,-210.0,10.0
-223.0,-195.0,-28.0,-221.0,-200.0,-21.0
-184.0,-137.0,-47.0,-178.0,-165.0,-13.0
-122.5,-162.0,39.5,-137.0,-179.0,42.0
-149.0,-175.0,26.0,-169.0,-186.0,17.0
-192.0,-130.0,-62.0,-196.0,-168.0,-28.0
-125.0,-210.0,85.0,-130.0,-221.0,91.0
-124.0,-191.0,67.0,-145.0,-209.0,64.0
-202.0,-199.0,-3.0,-206.0,-217.0,11.0
-156.0,-175.0,19.0,-182.0,-199.0,17.0
-187.0,-216.0,29.0,-199.0,-215.0,16.0
-139.0,-180.0,41.0,-164.0,-198.0,34.0
-183.0,-161.0,-22.0,-193.0,-183.0,-10.0
-173.0,-147.0,-26.0,-170.0,-166.0,-4.0
-140.0,-168.0,28.0,-176.0,-182.0,6.0
-196.0,-162.0,-34.0,-191.0,-179.0,-12.0
-178.0,-176.0,-2.0,-172.0,-194.0,22.0
-154.0,-213.0,59.0,-153.0,-221.0,68.0
-188.0,-173.0,-15.0,-185.0,-187.0,2.0
-137.0,-139.0,2.0,-144.0,-171.0,27.0
-154.0,-194.0,40.0,-176.0,-207.0,31.0
-204.0,-186.0,-18.0,-214.0,-203.0,-11.0
-140.0,-172.0,32.0,-143.0,-189.0,46.0
-248.0,-219.0,-29.0,-205.0,-226.0,21.0
-213.0,-213.0,0.0,-208.0,-216.0,8.0
-210.0,-156.0,-54.0,-204.0,-172.0,-32.0
-154.0,-197.0,43.0,-156.0,-205.0,49.0
-141.0,-179.0,38.0,-151.0,-191.0,40.0
-175.0,-144.0,-31.0,-181.0,-169.0,-12.0
-163.0,-181.0,18.0,-160.0,-194.0,34.0
-174.0,-187.0,13.0,-173.0,-207.0,34.0
-201.0,-202.0,1.0,-208.0,-216.0,8.0
-199.0,-203.0,4.0,-208.0,-213.0,5.0
-95.0,-191.0,96.0,-137.0,-206.0,69.0
-148.0,-190.0,42.0,-150.0,-211.0,61.0
-214.0,-192.0,-22.0,-215.0,-211.0,-4.0
-188.0,-212.0,24.0,-194.0,-217.0,23.0
-151.0,-160.0,9.0,-162.0,-175.0,13.0
-126.5,-164.0,37.5,-137.0,-183.0,46.0
-219.0,-161.0,-58.0,-219.0,-188.0,-31.0
-168.0,-180.0,12.0,-177.0,-199.0,22.0
-149.0,-206.0,57.0,-156.0,-209.0,53.0
-138.0,-203.0,65.0,-152.0,-224.0,72.0
-132.0,-178.0,46.0,-148.0,-191.0,43.0
-154.0,-188.0,34.0,-164.0,-206.0,42.0
-173.0,-208.0,35.0,-206.0,-219.0,13.0
-130.0,-204.0,74.0,-150.0,-225.0,75.0
-195.0,-198.0,3.0,-209.0,-220.0,11.0
-179.0,-164.0,-15.0,-197.0,-190.0,-7.0
-170.0,-182.0,12.0,-176.0,-195.0,19.0
-156.0,-158.0,2.0,-171.0,-180.0,9.0
-196.0,-173.0,-23.0,-194.0,-193.0,-1.0
-205.0,-208.0,3.0,-203.0,-218.0,15.0
-154.0,-161.0,7.0,-162.0,-185.0,23.0
-110.5,-164.0,53.5,-132.0,-188.0,56.0
-235.0,-180.0,-55.0,-225.0,-198.0,-27.0
-198.0,-219.0,21.0,-204.0,-209.0,5.0
-197.0,-178.0,-19.0,-203.0,-212.0,9.0
-196.0,-159.0,-37.0,-209.0,-180.0,-29.0
-231.0,-220.0,-11.0,-231.0,-243.0,12.0
-153.0,-183.0,30.0,-155.0,-198.0,43.0
-141.0,-152.0,11.0,-147.0,-179.0,32.0
-212.0,-199.0,-13.0,-209.0,-204.0,-5.0
-195.0,-181.0,-14.0,-188.0,-203.0,15.0
-171.0,-183.0,12.0,-197.0,-208.0,11.0
-126.5,-158.0,31.5,-138.0,-180.0,42.0
-152.0,-186.0,34.0,-157.0,-192.0,35.0
-163.0,-204.0,41.0,-201.0,-227.0,26.0
-191.0,-192.0,1.0,-214.0,-214.0,0.0
-184.0,-151.0,-33.0,-190.0,-186.0,-4.0
-231.0,-217.0,-14.0,-219.0,-220.0,1.0
-155.0,-170.0,15.0,-163.0,-192.0,29.0
-221.0,-146.0,-75.0,-222.0,-170.0,-52.0
-188.0,-175.0,-13.0,-187.0,-186.0,-1.0
-171.0,-182.0,11.0,-176.0,-198.0,22.0
-181.0,-176.0,-5.0,-178.0,-193.0,15.0
-151.0,-207.0,56.0,-154.0,-224.0,70.0
-187.0,-211.0,24.0,-173.0,-210.0,37.0
-220.0,-192.0,-28.0,-212.0,-212.0,0.0
-165.0,-168.0,3.0,-189.0,-184.0,-5.0
-120.0,-131.0,11.0,-153.0,-168.0,15.0
-204.0,-185.0,-19.0,-204.0,-199.0,-5.0
-186.0,-167.0,-19.0,-187.0,-197.0,10.0
-155.0,-161.0,6.0,-177.0,-199.0,22.0
-139.0,-149.0,10.0,-163.0,-174.0,11.0
-159.0,-172.0,13.0,-181.0,-193.0,12.0
-162.0,-164.0,2.0,-173.0,-196.0,23.0
-125.5,-229.0,103.5,-141.0,-247.0,106.0
-209.0,-178.0,-31.0,-212.0,-205.0,-7.0
-171.0,-184.0,13.0,-164.0,-216.0,52.0
-152.0,-212.0,60.0,-156.0,-208.0,52.0
-139.0,-179.0,40.0,-158.0,-196.0,38.0
-141.0,-177.0,36.0,-149.0,-204.0,55.0
-137.0,-181.0,44.0,-141.0,-196.0,55.0
-174.0,-154.0,-20.0,-176.0,-191.0,15.0
-233.0,-228.0,-5.0,-243.0,-226.0,-17.0
-219.0,-187.0,-32.0,-205.0,-196.0,-9.0
-210.0,-197.0,-13.0,-207.0,-201.0,-6.0
-185.0,-176.0,-9.0,-188.0,-196.0,8.0
-137.0,-178.0,41.0,-139.0,-201.0,62.0
-175.0,-153.0,-22.0,-184.0,-180.0,-4.0
-181.0,-200.0,19.0,-202.0,-210.0,8.0
-187.0,-163.0,-24.0,-193.0,-191.0,-2.0
-147.0,-201.0,54.0,-148.0,-207.0,59.0
-150.0,-156.0,6.0,-158.0,-184.0,26.0
-142.0,-167.0,25.0,-162.0,-186.0,24.0
-235.0,-206.0,-29.0,-227.0,-215.0,-12.0
-203.0,-171.0,-32.0,-197.0,-197.0,0.0
-210.0,-214.0,4.0,-217.0,-192.0,-25.0
-128.0,-189.0,61.0,-135.0,-193.0,58.0
-196.0,-179.0,-17.0,-190.0,-195.0,5.0
-181.0,-210.0,29.0,-180.0,-214.0,34.0
-227.0,-146.0,-81.0,-202.0,-171.0,-31.0
-199.0,-180.0,-19.0,-217.0,-208.0,-9.0
-173.0,-152.0,-21.0,-192.0,-179.0,-13.0
-175.0,-162.0,-13.0,-187.0,-182.0,-5.0
-164.0,-140.0,-24.0,-184.0,-180.0,-4.0
-210.0,-172.0,-38.0,-225.0,-197.0,-28.0
-141.0,-203.0,62.0,-155.0,-202.0,47.0
-191.0,-189.0,-2.0,-195.0,-207.0,12.0
-173.0,-160.0,-13.0,-188.0,-179.0,-9.0
-157.0,-164.0,7.0,-167.0,-185.0,18.0
-222.0,-167.0,-55.0,-219.0,-195.0,-24.0
-168.0,-229.0,61.0,-162.0,-244.0,82.0
-150.0,-197.0,47.0,-160.0,-216.0,56.0
-223.0,-211.0,-12.0,-217.0,-209.0,-8.0
-114.0,-146.0,32.0,-150.0,-165.0,15.0
-207.0,-212.0,5.0,-197.0,-225.0,28.0
-218.0,-179.0,-39.0,-230.0,-199.0,-31.0
-122.5,-144.0,21.5,-138.0,-168.0,30.0
-159.0,-168.0,9.0,-183.0,-200.0,17.0
-213.0,-177.0,-36.0,-201.0,-196.0,-5.0
-154.0,-148.0,-6.0,-175.0,-193.0,18.0
-154.0,-175.0,21.0,-164.0,-186.0,22.0
-160.0,-205.0,45.0,-157.0,-220.0,63.0
