d,u,diff
61.25,39.5,21.75
61.25,14.5,46.75
47.75,47.5,0.25
54.75,16.5,38.25
56.5,47.0,9.5
60.0,41.0,19
66.0,64.0,2
56.25,35.0,21.25
51.5,36.0,15.5
39.25,31.5,7.75
53.0,32.0,21
62.0,44.0,18
40.0,32.0,8
54.75,32.5,22.25
57.5,57.0,0.5
59.5,35.5,24
66.0,51.5,14.5
55.0,35.0,20
61.5,42.0,19.5
45.75,37.5,8.25
56.5,30.5,26
33.0,29.5,3.5
51.75,40.5,11.25
47.0,41.5,5.5
56.25,33.0,23.25
44.0,40.5,3.5
67.5,34.5,33
65.0,46.0,19
38.5,37.5,1
39.0,29.0,10
49.5,21.0,28.5
62.0,22.0,40
52.25,47.5,4.75
46.5,43.0,3.5
58.0,40.5,17.5
44.0,41.0,3
39.0,32.5,6.5
63.0,40.5,22.5
71.5,40.5,31
52.5,47.5,5
52.0,41.0,11
49.5,39.5,10
51.5,37.5,14
50.0,35.0,15
36.25,18.0,18.25
65.0,39.0,26
57.25,45.0,12.25
45.5,41.5,4
55.5,52.5,3
42.75,28.0,14.75
55.25,53.5,1.75
63.5,62.0,1.5
51.0,48.0,3
59.5,35.5,24
60.5,43.0,17.5
45.5,34.0,11.5
49.0,35.5,13.5
51.0,25.5,25.5
60.0,52.5,7.5
48.75,48.5,0.25
43.0,30.0,13
53.5,27.5,26
61.0,43.5,17.5
55.5,55.5,0
59.5,31.0,28.5
67.0,44.0,23
41.5,36.0,5.5
41.5,34.5,7
64.5,32.5,32
55.5,46.0,9.5
62.0,46.0,16
38.5,37.5,1
51.0,42.5,8.5
68.0,39.0,29
69.0,35.0,34
42.5,41.0,1.5
54.25,32.0,22.25
48.5,40.0,8.5
59.5,28.0,31.5
41.5,34.5,7
48.0,39.0,9
47.0,33.0,14
48.5,45.5,3
47.0,35.0,12
57.5,46.0,11.5
62.75,30.0,32.75
55.5,46.5,9
57.75,37.5,20.25
60.75,54.0,6.75
59.5,58.5,1
53.0,37.5,15.5
62.25,31.5,30.75
51.5,43.5,8
54.75,48.0,6.75
52.5,52.5,0
43.0,41.5,1.5
49.0,40.0,9
52.75,29.0,23.75
52.0,49.0,3
51.25,37.5,13.75
51.0,46.0,5
49.5,21.5,28
56.0,37.0,19
61.5,34.0,27.5
55.5,47.0,8.5
55.0,44.0,11
38.75,38.5,0.25
53.25,36.0,17.25
66.0,45.5,20.5
58.0,46.5,11.5
52.5,10.5,42
38.0,37.5,0.5
54.5,52.0,2.5
49.0,39.5,9.5
51.5,39.5,12
63.75,33.0,30.75
43.75,31.0,12.75
51.5,51.0,0.5
36.25,33.5,2.75
49.25,33.5,15.75
61.5,34.5,27
61.25,30.5,30.75
61.0,34.5,26.5
68.0,40.0,28
64.0,26.0,38
40.5,19.5,21
47.25,40.5,6.75
63.5,44.5,19
47.5,38.0,9.5
56.5,52.5,4
62.0,54.5,7.5
48.75,43.5,5.25
59.0,14.5,44.5
62.5,46.5,16
62.25,52.5,9.75
44.5,42.5,2
42.75,40.5,2.25
62.0,56.5,5.5
56.5,40.5,16
61.0,45.5,15.5
50.5,40.0,10.5
53.0,47.0,6
61.5,61.0,0.5
62.5,35.5,27
47.0,46.5,0.5
38.5,22.5,16
49.0,36.0,13
55.0,53.5,1.5
47.0,40.0,7
45.25,43.5,1.75
67.5,45.5,22
62.5,61.5,1
43.25,41.5,1.75
71.5,46.5,25
56.0,44.0,12
53.0,49.0,4
44.75,25.0,19.75
51.5,36.5,15
43.5,42.5,1
40.5,39.0,1.5
33.0,32.75,0.25
45.0,31.5,13.5
51.5,51.5,0
52.5,42.0,10.5
62.0,41.0,21
37.5,35.0,2.5
41.75,38.0,3.75
54.5,41.5,13
62.0,31.0,31
36.5,33.0,3.5
46.75,32.0,14.75
58.25,29.0,29.25
48.0,32.0,16
51.0,37.5,13.5
63.5,32.5,31
53.5,48.0,5.5
63.25,40.5,22.75
66.0,33.5,32.5
58.25,42.5,15.75
58.5,37.5,21
41.5,41.0,0.5
49.0,45.0,4
55.5,42.0,13.5
59.25,41.5,17.75
45.25,35.0,10.25
49.75,39.0,10.75
56.0,47.5,8.5
45.5,21.0,24.5
47.5,45.0,2.5
62.75,39.0,23.75
48.0,36.0,12
49.0,25.0,24
60.5,42.5,18
55.0,44.5,10.5
60.25,39.0,21.25
57.75,50.5,7.25
51.0,44.5,6.5
57.75,46.0,11.75
59.0,55.5,3.5
