d,u,diff
54.75,53.5,1.25
35.0,34.0,1
61.75,4.0,57.75
42.0,41.0,1
63.0,48.5,14.5
50.25,35.0,15.25
77.0,52.0,25
45.0,32.0,13
45.25,42.5,2.75
46.75,34.5,12.25
53.25,43.0,10.25
59.0,54.0,5
43.5,28.5,15
49.5,35.5,14
68.5,43.0,25.5
52.5,47.5,5
62.5,42.5,20
53.75,24.5,29.25
65.0,57.5,7.5
51.25,39.5,11.75
38.75,26.0,12.75
48.75,23.0,25.75
51.5,44.0,7.5
58.75,35.0,23.75
50.0,26.0,24
58.75,32.5,26.25
60.0,49.5,10.5
64.5,51.5,13
50.0,34.5,15.5
59.0,10.5,48.5
51.5,9.5,42
35.5,33.5,2
67.5,40.0,27.5
53.25,44.5,8.75
51.75,41.5,10.25
48.75,36.0,12.75
48.75,30.0,18.75
57.75,39.0,18.75
50.0,34.5,15.5
59.0,32.0,27
50.5,39.0,11.5
51.75,37.0,14.75
45.0,44.5,0.5
45.75,45.0,0.75
41.25,26.5,14.75
53.5,50.0,3.5
59.75,49.5,10.25
60.0,41.0,19
74.0,41.0,33
37.75,21.0,16.75
67.5,47.5,20
66.5,33.0,33.5
65.0,40.5,24.5
49.25,48.5,0.75
57.75,49.0,8.75
48.5,24.0,24.5
47.5,39.5,8
39.5,37.5,2
69.5,27.5,42
64.5,44.0,20.5
45.0,35.0,10
48.5,34.0,14.5
59.0,47.5,11.5
75.0,46.0,29
49.5,40.0,9.5
58.5,46.0,12.5
43.5,22.5,21
48.0,37.0,11
53.5,44.0,9.5
57.75,39.5,18.25
54.5,29.5,25
56.75,30.0,26.75
56.5,48.0,8.5
74.5,59.5,15
49.5,28.0,21.5
56.5,31.0,25.5
55.0,32.5,22.5
53.25,43.5,9.75
45.5,39.0,6.5
49.0,27.0,22
51.5,32.0,19.5
44.5,42.5,2
72.5,40.0,32.5
47.75,31.5,16.25
62.0,37.5,24.5
47.0,44.0,3
63.5,39.0,24.5
52.75,42.5,10.25
64.0,44.5,19.5
73.5,38.0,35.5
58.5,22.0,36.5
53.0,34.5,18.5
55.5,38.0,17.5
69.0,25.5,43.5
67.0,34.5,32.5
53.0,32.0,21
54.0,44.0,10
45.5,41.5,4
67.0,39.0,28
53.0,44.0,9
62.25,41.5,20.75
43.5,25.0,18.5
58.5,32.0,26.5
56.25,50.0,6.25
62.25,30.5,31.75
66.0,35.5,30.5
60.5,19.5,41
55.25,43.5,11.75
60.25,54.5,5.75
57.5,44.5,13
40.5,32.0,8.5
57.25,27.5,29.75
62.75,35.5,27.25
53.0,38.5,14.5
51.75,44.0,7.75
50.0,42.5,7.5
44.0,33.5,10.5
66.0,42.5,23.5
49.25,28.0,21.25
49.0,36.0,13
48.75,34.5,14.25
46.25,43.5,2.75
52.0,46.0,6
60.25,51.5,8.75
54.5,25.5,29
39.0,30.5,8.5
52.0,29.0,23
57.0,54.0,3
46.0,38.0,8
62.5,37.5,25
70.0,34.5,35.5
61.0,41.0,20
27.0,-17.0,44
59.75,44.0,15.75
66.5,53.5,13
58.5,33.0,25.5
51.5,33.0,18.5
70.5,13.0,57.5
58.0,35.0,23
66.0,54.5,11.5
48.5,40.5,8
56.5,37.5,19
66.0,53.0,13
50.0,38.5,11.5
63.0,28.5,34.5
32.25,29.5,2.75
51.75,37.5,14.25
60.5,41.5,19
55.25,39.5,15.75
56.5,8.0,48.5
66.5,51.5,15
86.0,54.0,32
53.75,36.5,17.25
60.5,54.5,6
57.5,40.5,17
63.0,28.5,34.5
51.5,35.0,16.5
61.5,46.0,15.5
53.75,34.0,19.75
57.25,25.0,32.25
45.75,21.0,24.75
38.75,38.25,0.5
66.0,42.5,23.5
56.75,46.5,10.25
58.75,44.5,14.25
45.0,29.5,15.5
51.25,26.5,24.75
53.0,47.0,6
51.0,40.0,11
49.5,29.0,20.5
46.5,24.5,22
48.75,28.5,20.25
57.5,37.5,20
46.5,41.0,5.5
58.0,55.0,3
58.5,29.5,29
54.5,51.5,3
51.0,38.5,12.5
52.5,37.0,15.5
56.75,28.0,28.75
65.0,33.0,32
65.5,35.0,30.5
53.25,49.0,4.25
66.0,51.0,15
49.0,38.5,10.5
56.5,41.0,15.5
58.25,40.0,18.25
41.0,23.0,18
77.0,37.5,39.5
50.25,44.0,6.25
50.0,37.0,13
43.5,42.0,1.5
53.5,42.0,11.5
62.5,43.0,19.5
49.75,28.0,21.75
66.0,45.5,20.5
62.5,-21.0,83.5
64.0,18.5,45.5
67.0,44.0,23
55.5,47.0,8.5
55.25,37.5,17.75
47.75,31.5,16.25
50.5,35.5,15
70.0,63.0,7
57.5,44.0,13.5
60.25,48.5,11.75
59.5,41.5,18
41.5,38.5,3
62.5,36.0,26.5
55.25,50.0,5.25
58.5,37.5,21
71.0,21.5,49.5
51.75,30.5,21.25
58.0,35.5,22.5
70.5,37.5,33
58.75,50.25,8.5
78.0,40.0,38
44.5,42.0,2.5
52.75,33.5,19.25
58.25,34.5,23.75
55.5,37.0,18.5
44.25,38.5,5.75
86.0,59.0,27
62.5,29.5,33
56.0,54.0,2
53.0,30.5,22.5
77.5,42.0,35.5
53.5,35.0,18.5
53.5,39.5,14
55.0,31.0,24
66.0,43.0,23
55.0,25.0,30
70.0,41.5,28.5
51.25,35.5,15.75
67.0,64.0,3
62.0,39.5,22.5
72.5,47.5,25
63.5,49.0,14.5
52.0,40.0,12
60.0,14.0,46
55.0,36.5,18.5
56.5,43.0,13.5
44.75,44.0,0.75
41.0,39.5,1.5
60.75,21.5,39.25
55.0,31.5,23.5
48.0,43.5,4.5
59.75,18.5,41.25
55.5,15.0,40.5
57.5,41.0,16.5
55.25,43.5,11.75
53.5,41.0,12.5
64.0,44.5,19.5
35.0,30.0,5
67.0,36.5,30.5
46.0,37.5,8.5
46.25,33.5,12.75
62.0,38.5,23.5
53.75,19.0,34.75
43.25,39.0,4.25
55.5,43.5,12
63.5,39.5,24
69.5,47.0,22.5
58.0,31.0,27
