DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-152.0,-201.0,49.0,-184.0,-207.0,23.0
-196.0,-217.0,21.0,-179.0,-212.0,33.0
-143.0,-165.0,22.0,-178.0,-170.0,-8.0
-243.0,-199.0,-44.0,-203.0,-195.0,-8.0
-203.0,-177.0,-26.0,-206.0,-177.0,-29.0
-155.0,-210.0,55.0,-178.0,-207.0,29.0
-201.0,-209.0,8.0,-209.0,-200.0,-9.0
-201.0,-230.0,29.0,-199.0,-223.0,24.0
-140.0,-190.0,50.0,-166.0,-178.0,12.0
-168.0,-128.0,-40.0,-180.0,-137.0,-43.0
-184.0,-154.0,-30.0,-187.0,-170.0,-17.0
-133.0,-199.0,66.0,-169.0,-195.0,26.0
-218.0,-129.0,-89.0,-222.0,-130.0,-92.0
-197.0,-131.0,-66.0,-210.0,-146.0,-64.0
-207.0,-209.0,2.0,-218.0,-205.0,-13.0
-181.0,-160.0,-21.0,-199.0,-181.0,-18.0
-224.0,-198.0,-26.0,-215.0,-201.0,-14.0
-188.0,-147.0,-41.0,-199.0,-165.0,-34.0
-167.0,-188.0,21.0,-184.0,-194.0,10.0
-153.0,-182.0,29.0,-168.0,-170.0,2.0
-173.0,-148.0,-25.0,-181.0,-177.0,-4.0
-168.0,-207.0,39.0,-179.0,-192.0,13.0
-185.0,-184.0,-1.0,-195.0,-172.0,-23.0
-224.0,-162.0,-62.0,-219.0,-153.0,-66.0
-179.0,-195.0,16.0,-188.0,-185.0,-3.0
-144.0,-142.0,-2.0,-171.0,-145.0,-26.0
-203.0,-158.0,-45.0,-208.0,-177.0,-31.0
-193.0,-211.0,18.0,-204.0,-214.0,10.0
-175.0,-140.0,-35.0,-189.0,-145.0,-44.0
-227.0,-258.0,31.0,-225.0,-205.0,-20.0
-222.0,-221.0,-1.0,-217.0,-207.0,-10.0
-161.0,-216.0,55.0,-175.0,-204.0,29.0
-205.0,-164.0,-41.0,-206.0,-158.0,-48.0
-186.0,-149.0,-37.0,-192.0,-152.0,-40.0
-149.0,-181.0,32.0,-170.0,-180.0,10.0
-186.0,-168.0,-18.0,-195.0,-161.0,-34.0
-193.0,-182.0,-11.0,-209.0,-173.0,-36.0
-208.0,-208.0,0.0,-216.0,-212.0,-4.0
-210.0,-205.0,-5.0,-212.0,-207.0,-5.0
