DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-103.5,-149.0,45.5,-146.0,-182.0,36.0
-114.0,-135.0,21.0,-133.0,-159.0,26.0
-84.0,-143.0,59.0,-113.0,-165.0,52.0
-102.0,-156.0,54.0,-140.0,-183.0,43.0
-99.5,-215.0,115.5,-151.0,-225.0,74.0
-99.5,-167.0,67.5,-142.0,-169.0,27.0
-128.0,-120.5,-7.5,-125.0,-172.0,47.0
-77.5,-145.0,67.5,-115.0,-182.0,67.0
-131.0,-184.0,53.0,-150.0,-202.0,52.0
-105.5,-254.0,148.5,-130.0,-245.0,115.0
-90.5,-156.0,65.5,-134.0,-193.0,59.0
-165.0,-204.0,39.0,-176.0,-186.0,10.0
-122.5,-132.0,9.5,-147.0,-128.0,-19.0
-89.5,-187.0,97.5,-110.0,-208.0,98.0
-124.0,-191.0,67.0,-131.0,-200.0,69.0
-77.5,-136.0,58.5,-131.0,-173.0,42.0
-109.5,-162.0,52.5,-116.5,-179.0,62.5
-137.0,-172.0,35.0,-154.0,-200.0,46.0
-134.0,-179.0,45.0,-150.0,-210.0,60.0
-94.5,-150.0,55.5,-98.5,-180.0,81.5
-145.0,-179.0,34.0,-172.0,-192.0,20.0
-129.0,-228.0,99.0,-126.5,-234.0,107.5
-165.0,-154.0,-11.0,-158.0,-183.0,25.0
-111.5,-193.0,81.5,-163.0,-183.0,20.0
-107.0,-143.0,36.0,-143.0,-174.0,31.0
-111.5,-152.0,40.5,-135.0,-181.0,46.0
-97.5,-212.0,114.5,-133.0,-223.0,90.0
-137.0,-178.0,41.0,-133.0,-190.0,57.0
-174.0,-161.0,-13.0,-143.0,-195.0,52.0
-148.0,-220.0,72.0,-144.0,-228.0,84.0
-118.5,-163.0,44.5,-137.0,-180.0,43.0
-127.0,-137.0,10.0,-148.0,-168.0,20.0
-69.0,-160.0,91.0,-99.5,-186.0,86.5
-76.0,-141.0,65.0,-117.5,-169.0,51.5
-89.5,-149.0,59.5,-114.5,-202.0,87.5
-84.0,-130.0,46.0,-134.0,-181.0,47.0
-122.5,-162.0,39.5,-142.0,-173.0,31.0
-113.5,-202.0,88.5,-144.0,-211.0,67.0
-115.0,-197.0,82.0,-132.0,-217.0,85.0
-121.5,-252.0,130.5,-129.0,-232.0,103.0
-68.0,-164.0,96.0,-99.5,-200.0,100.5
-111.5,-187.0,75.5,-124.5,-178.0,53.5
-80.0,-138.0,58.0,-134.0,-170.0,36.0
-85.0,-217.0,132.0,-122.5,-215.0,92.5
-152.0,-168.0,16.0,-154.0,-157.0,3.0
-123.5,-226.0,102.5,-149.0,-212.0,63.0
-152.0,-220.0,68.0,-190.0,-235.0,45.0
-88.5,-135.0,46.5,-128.0,-167.0,39.0
-217.0,-205.0,-12.0,-186.0,-209.0,23.0
-105.0,-131.0,26.0,-140.0,-132.0,-8.0
-122.0,-197.0,75.0,-156.0,-200.0,44.0
-162.0,-197.0,35.0,-163.0,-199.0,36.0
-174.0,-230.0,56.0,-158.0,-196.0,38.0
-117.0,-203.0,86.0,-163.0,-246.0,83.0
-97.5,-205.0,107.5,-110.0,-199.0,89.0
-156.0,-129.0,-27.0,-159.0,-135.0,-24.0
-86.0,-195.0,109.0,-97.5,-214.0,116.5
-175.0,-237.0,62.0,-168.0,-209.0,41.0
-162.0,-178.0,16.0,-198.0,-197.0,-1.0
-152.0,-223.0,71.0,-148.0,-245.0,97.0
-167.0,-229.0,62.0,-157.0,-227.0,70.0
-165.0,-268.0,103.0,-148.0,-214.0,66.0
-215.0,-172.0,-43.0,-190.0,-174.0,-16.0
-163.0,-225.0,62.0,-164.0,-249.0,85.0
-115.5,-218.0,102.5,-135.0,-198.0,63.0
-160.0,-236.0,76.0,-162.0,-234.0,72.0
-202.0,-209.0,7.0,-201.0,-203.0,2.0
-114.5,-192.0,77.5,-136.0,-212.0,76.0
-109.0,-172.0,63.0,-105.5,-175.0,69.5
-158.0,-211.0,53.0,-154.0,-197.0,43.0
-191.0,-254.0,63.0,-166.0,-225.0,59.0
-176.0,-249.0,73.0,-164.0,-209.0,45.0
-131.0,-180.0,49.0,-163.0,-208.0,45.0
-157.0,-189.0,32.0,-172.0,-195.0,23.0
-119.5,-237.0,117.5,-158.0,-210.0,52.0
-129.0,-272.0,143.0,-140.0,-245.0,105.0
-136.0,-254.0,118.0,-174.0,-239.0,65.0
-111.0,-207.0,96.0,-147.0,-207.0,60.0
-146.0,-245.0,99.0,-155.0,-251.0,96.0
-153.0,-208.0,55.0,-144.0,-206.0,62.0
-111.5,-170.0,58.5,-150.0,-177.0,27.0
