DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-157.0,-215.0,58.0,-169.0,-163.0,-6.0
-127.5,-254.0,126.5,-151.0,-149.0,-2.0
-97.0,-205.0,108.0,-147.0,-130.0,-17.0
-138.0,-192.0,54.0,-170.0,-149.0,-21.0
-210.0,-235.0,25.0,-205.0,-161.0,-44.0
-177.0,-238.0,61.0,-149.0,-155.0,6.0
-130.0,-268.0,138.0,-166.0,-156.0,-10.0
-175.0,-216.0,41.0,-177.0,-126.0,-51.0
-175.0,-240.0,65.0,-191.0,-169.0,-22.0
-256.0,-240.0,-16.0,-232.0,-147.0,-85.0
-136.0,-241.0,105.0,-170.0,-148.0,-22.0
-198.0,-284.0,86.0,-170.0,-190.0,20.0
-128.0,-214.0,86.0,-116.0,-156.0,40.0
-175.0,-173.0,-2.0,-207.0,-122.5,-84.5
-178.0,-248.0,70.0,-193.0,-153.0,-40.0
-144.0,-252.0,108.0,-169.0,-161.0,-8.0
-143.0,-217.0,74.0,-177.0,-125.5,-51.5
-184.0,-330.0,146.0,-187.0,-178.0,-9.0
-199.0,-260.0,61.0,-194.0,-156.0,-38.0
-141.0,-240.0,99.0,-166.0,-119.5,-46.5
-194.0,-276.0,82.0,-183.0,-188.0,5.0
-244.0,-308.0,64.0,-213.0,-144.0,-69.0
-155.0,-310.0,155.0,-169.0,-178.0,9.0
-198.0,-292.0,94.0,-179.0,-179.0,0.0
-134.0,-278.0,144.0,-161.0,-158.0,-3.0
-144.0,-237.0,93.0,-169.0,-157.0,-12.0
-218.0,-246.0,28.0,-210.0,-146.0,-64.0
-182.0,-223.0,41.0,-180.0,-138.0,-42.0
-167.0,-330.0,163.0,-187.0,-187.0,0.0
-213.0,-300.0,87.0,-218.0,-154.0,-64.0
-156.0,-214.0,58.0,-161.0,-146.0,-15.0
-135.0,-255.0,120.0,-152.0,-160.0,8.0
-138.0,-206.0,68.0,-169.0,-111.0,-58.0
-124.0,-266.0,142.0,-147.0,-133.0,-14.0
-163.0,-222.0,59.0,-185.0,-130.0,-55.0
-114.5,-250.0,135.5,-167.0,-150.0,-17.0
-183.0,-268.0,85.0,-164.0,-163.0,-1.0
-208.0,-272.0,64.0,-201.0,-152.0,-49.0
-207.0,-209.0,2.0,-214.0,-151.0,-63.0
-250.0,-209.0,-41.0,-228.0,-141.0,-87.0
-167.0,-184.0,17.0,-192.0,-108.5,-83.5
-190.0,-242.0,52.0,-177.0,-142.0,-35.0
-155.0,-233.0,78.0,-165.0,-144.0,-21.0
-238.0,-212.0,-26.0,-203.0,-135.0,-68.0
-173.0,-290.0,117.0,-157.0,-184.0,27.0
-215.0,-274.0,59.0,-201.0,-168.0,-33.0
-253.0,-231.0,-22.0,-235.0,-198.0,-37.0
-122.5,-231.0,108.5,-164.0,-146.0,-18.0
-205.0,-312.0,107.0,-200.0,-198.0,-2.0
-134.0,-230.0,96.0,-126.5,-151.0,24.5
-195.0,-266.0,71.0,-197.0,-175.0,-22.0
-189.0,-274.0,85.0,-188.0,-174.0,-14.0
-219.0,-308.0,89.0,-187.0,-169.0,-18.0
-229.0,-220.0,-9.0,-235.0,-171.0,-64.0
-218.0,-164.0,-54.0,-192.0,-116.5,-75.5
-100.0,-250.0,150.0,-119.5,-162.0,42.5
-205.0,-236.0,31.0,-204.0,-112.0,-92.0
-217.0,-300.0,83.0,-203.0,-183.0,-20.0
-147.0,-326.0,179.0,-183.0,-208.0,25.0
-216.0,-292.0,76.0,-227.0,-158.0,-69.0
-220.0,-280.0,60.0,-221.0,-169.0,-52.0
-230.0,-290.0,60.0,-195.0,-154.0,-41.0
-139.0,-330.0,191.0,-151.0,-204.0,53.0
-212.0,-310.0,98.0,-239.0,-171.0,-68.0
-216.0,-222.0,6.0,-186.0,-147.0,-39.0
-240.0,-300.0,60.0,-219.0,-176.0,-43.0
-216.0,-346.0,130.0,-194.0,-216.0,22.0
-188.0,-238.0,50.0,-198.0,-152.0,-46.0
-158.0,-243.0,85.0,-170.0,-116.0,-54.0
-183.0,-298.0,115.0,-184.0,-161.0,-23.0
-322.0,-344.0,22.0,-218.0,-180.0,-38.0
-262.0,-270.0,8.0,-200.0,-181.0,-19.0
-170.0,-284.0,114.0,-186.0,-171.0,-15.0
-183.0,-296.0,113.0,-189.0,-189.0,0.0
-208.0,-246.0,38.0,-194.0,-168.0,-26.0
-264.0,-290.0,26.0,-237.0,-151.0,-86.0
-266.0,-270.0,4.0,-232.0,-176.0,-56.0
-225.0,-245.0,20.0,-198.0,-157.0,-41.0
-266.0,-254.0,-12.0,-245.0,-164.0,-81.0
-201.0,-324.0,123.0,-196.0,-155.0,-41.0
-187.0,-221.0,34.0,-174.0,-153.0,-21.0
