d,u,diff
74.5,22.0,52.5
56.5,3.0,53.5
54.25,8.0,46.25
55.5,19.0,36.5
61.0,11.0,50
65.5,5.0,60.5
46.0,30.0,16
62.0,19.0,43
67.0,23.0,44
54.75,22.0,32.75
63.0,19.0,44
77.5,31.5,46
55.5,-16.0,71.5
44.5,29.0,15.5
52.25,41.0,11.25
70.5,25.0,45.5
42.75,28.0,14.75
74.5,35.0,39.5
45.5,35.0,10.5
53.25,42.0,11.25
76.0,24.0,52
39.0,24.0,15
63.5,25.0,38.5
89.0,35.0,54
62.25,33.0,29.25
61.0,4.0,57
81.0,39.0,42
44.5,32.0,12.5
72.5,12.0,60.5
66.0,46.0,20
49.0,16.0,33
57.0,20.0,37
70.0,1.0,69
55.75,24.0,31.75
45.0,39.0,6
70.5,36.0,34.5
90.0,1.0,89
61.75,35.0,26.75
73.0,58.0,15
48.5,27.0,21.5
47.25,33.0,14.25
46.5,15.0,31.5
74.0,34.0,40
51.5,28.0,23.5
68.0,-1.0,69
52.5,38.0,14.5
72.5,54.0,18.5
54.75,28.0,26.75
67.0,15.0,52
53.0,-8.0,61
56.0,17.0,39
63.0,-1.0,64
58.5,24.0,34.5
67.5,33.0,34.5
41.75,27.0,14.75
49.75,7.0,42.75
32.25,8.0,24.25
71.5,52.0,19.5
79.5,-12.0,91.5
40.0,18.0,22
54.0,41.0,13
36.5,-7.0,43.5
67.5,-13.0,80.5
64.5,58.0,6.5
55.0,25.0,30
52.0,40.0,12
71.5,10.0,61.5
57.25,39.0,18.25
34.75,10.0,24.75
47.5,1.0,46.5
57.5,36.0,21.5
72.5,12.0,60.5
74.0,11.0,63
67.5,-8.0,75.5
65.0,13.0,52
46.0,21.0,25
79.0,53.0,26
64.0,-3.0,67
50.5,40.0,10.5
61.5,36.0,25.5
62.0,21.0,41
