d,u,diff
77.0,0.0,77
71.0,-55.0,126
79.5,-31.5,111
78.5,-8.0,86.5
81.5,-26.0,107.5
70.0,-20.0,90
83.0,-56.0,139
83.0,-36.5,119.5
82.5,-31.0,113.5
84.0,-14.0,98
83.0,-37.0,120
77.0,-26.0,103
20.5,0.0,20.5
97.0,-2.5,99.5
107.0,-28.0,135
75.0,-35.0,110
75.5,-37.0,112.5
81.0,-60.0,141
87.5,-28.0,115.5
72.5,-17.0,89.5
71.5,2.0,69.5
92.0,-78.0,170
87.0,-71.0,158
78.5,24.0,54.5
62.0,-74.0,136
72.5,-20.0,92.5
72.0,0.0,72
80.0,-31.0,111
70.5,-17.0,87.5
89.5,-9.0,98.5
83.0,-72.5,155.5
67.0,-56.0,123
90.0,-41.0,131
72.5,-61.5,134
79.5,-29.0,108.5
84.5,-61.0,145.5
55.0,-19.0,74
82.0,-49.5,131.5
103.5,-7.5,111
102.5,1.0,101.5
91.0,-4.0,95
65.0,-38.0,103
80.0,-4.0,84
72.5,-13.5,86
66.0,-35.0,101
83.5,-37.0,120.5
103.0,21.0,82
72.5,-40.0,112.5
76.5,-47.0,123.5
40.0,2.5,37.5
82.5,-35.0,117.5
77.5,-22.0,99.5
68.0,-75.0,143
106.5,3.0,103.5
66.5,-20.0,86.5
33.5,-79.5,113
84.0,-20.0,104
90.5,-21.0,111.5
85.5,-18.0,103.5
91.0,-72.0,163
94.0,-51.0,145
76.0,-57.0,133
47.5,-58.0,105.5
114.5,-28.0,142.5
70.0,-3.5,73.5
86.5,-59.0,145.5
69.5,-39.0,108.5
91.0,-45.0,136
71.0,-38.0,109
89.0,-66.0,155
75.5,-15.5,91
73.0,-4.0,77
76.5,-27.0,103.5
68.0,-60.0,128
70.5,-64.0,134.5
81.0,-23.5,104.5
99.0,-16.0,115
59.0,5.5,53.5
115.5,-22.5,138
78.5,-64.0,142.5
68.5,-24.5,93
