DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-75.5,-167.0,91.5,-129.0,-129.0,0.0
-78.5,-218.0,139.5,-140.0,-168.0,28.0
-70.5,-187.0,116.5,-129.0,-130.0,1.0
-57.0,-172.0,115.0,-111.0,-105.5,-5.5
-56.25,-210.0,153.75,-110.5,-114.5,4.0
-59.0,-146.0,87.0,-131.0,-100.0,-31.0
-49.25,-153.0,103.75,-94.5,-103.0,8.5
-36.75,-153.0,116.25,-74.0,-89.5,15.5
-66.5,-129.0,62.5,-158.0,-104.5,-53.5
-43.5,-156.0,112.5,-95.5,-128.0,32.5
-62.25,-151.0,88.75,-124.5,-91.0,-33.5
-36.5,-119.5,83.0,-79.0,-94.5,15.5
-73.5,-146.0,72.5,-130.0,-110.0,-20.0
-44.75,-145.0,100.25,-85.5,-129.0,43.5
-55.0,-125.5,70.5,-116.5,-105.5,-11.0
-49.0,-173.0,124.0,-100.5,-114.0,13.5
-50.5,-203.0,152.5,-100.5,-112.0,11.5
-47.5,-158.0,110.5,-105.5,-100.0,-5.5
-63.75,-205.0,141.25,-101.0,-140.0,39.0
-41.0,-155.0,114.0,-93.0,-117.5,24.5
-71.0,-222.0,151.0,-150.0,-123.0,-27.0
-53.0,-114.5,61.5,-119.0,-105.0,-14.0
-57.0,-144.0,87.0,-106.0,-102.5,-3.5
-23.625,-207.0,183.375,-66.5,-140.0,73.5
-63.25,-172.0,108.75,-138.0,-106.5,-31.5
-59.5,-97.0,37.5,-106.5,-70.0,-36.5
-58.5,-124.0,65.5,-104.0,-111.0,7.0
-73.5,-132.0,58.5,-105.0,-99.0,-6.0
-74.5,-136.0,61.5,-151.0,-104.0,-47.0
-63.5,-197.0,133.5,-112.5,-137.0,24.5
-55.0,-159.0,104.0,-103.0,-97.5,-5.5
-54.25,-101.0,46.75,-121.0,-84.5,-36.5
-76.0,-109.5,33.5,-157.0,-89.5,-67.5
-65.5,-152.0,86.5,-106.0,-107.0,1.0
-39.5,-153.0,113.5,-89.5,-122.5,33.0
-55.0,-158.0,103.0,-103.0,-110.0,7.0
-53.75,-154.0,100.25,-111.5,-92.0,-19.5
-59.25,-129.0,69.75,-90.0,-123.5,33.5
-41.5,-121.0,79.5,-87.0,-92.5,5.5
-60.5,-147.0,86.5,-143.0,-114.5,-28.5
-54.75,-161.0,106.25,-109.5,-105.0,-4.5
-57.5,-153.0,95.5,-95.0,-91.5,-3.5
-52.0,-147.0,95.0,-113.0,-122.0,9.0
-55.75,-170.0,114.25,-106.5,-110.0,3.5
-57.25,-178.0,120.75,-102.5,-103.0,0.5
-48.25,-144.0,95.75,-92.5,-116.5,24.0
-45.0,-120.0,75.0,-82.0,-82.0,0.0
-38.25,-113.5,75.25,-80.5,-79.5,-1.0
-57.25,-147.0,89.75,-119.0,-80.5,-38.5
