DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-59.5,-254.0,194.5,-96.5,-182.0,85.5
-61.25,-206.0,144.75,-141.0,-157.0,16.0
-61.0,-241.0,180.0,-96.5,-150.0,53.5
-54.5,-205.0,150.5,-87.5,-148.0,60.5
-56.75,-181.0,124.25,-91.0,-146.0,55.0
-42.0,-215.0,173.0,-80.0,-162.0,82.0
-35.25,-189.0,153.75,-91.0,-124.0,33.0
-56.5,-149.0,92.5,-77.0,-99.0,22.0
-50.75,-208.0,157.25,-88.0,-158.0,70.0
-58.75,-157.0,98.25,-109.5,-125.0,15.5
-52.75,-230.0,177.25,-74.5,-158.0,83.5
-31.0,-147.0,116.0,-75.5,-96.0,20.5
-63.25,-255.0,191.75,-93.5,-167.0,73.5
-51.25,-156.0,104.75,-108.5,-94.0,-14.5
-50.75,-179.0,128.25,-88.0,-144.0,56.0
-44.25,-207.0,162.75,-90.5,-130.0,39.5
-49.75,-168.0,118.25,-85.0,-142.0,57.0
-47.25,-217.0,169.75,-86.5,-141.0,54.5
-51.25,-225.0,173.75,-103.5,-137.0,33.5
-45.25,-182.0,136.75,-110.5,-116.5,6.0
-49.0,-243.0,194.0,-84.5,-182.0,97.5
-40.5,-171.0,130.5,-93.0,-147.0,54.0
-44.75,-224.0,179.25,-94.5,-141.0,46.5
-50.0,-127.5,77.5,-96.5,-87.0,-9.5
-54.0,-276.0,222.0,-79.5,-187.0,107.5
-33.75,-189.0,155.25,-62.5,-123.0,60.5
-58.5,-130.0,71.5,-95.5,-124.5,29.0
-49.5,-153.0,103.5,-89.0,-129.0,40.0
-51.75,-262.0,210.25,-91.0,-180.0,89.0
-50.25,-233.0,182.75,-99.0,-148.0,49.0
-50.25,-140.0,89.75,-89.0,-126.5,37.5
-37.25,-252.0,214.75,-73.5,-149.0,75.5
-45.75,-264.0,218.25,-79.5,-178.0,98.5
-53.5,-182.0,128.5,-90.5,-131.0,40.5
-51.0,-158.0,107.0,-110.0,-113.0,3.0
-41.25,-227.0,185.75,-89.5,-149.0,59.5
-46.0,-227.0,181.0,-73.5,-150.0,76.5
-48.25,-226.0,177.75,-81.0,-123.5,42.5
-46.5,-168.0,121.5,-79.0,-113.5,34.5
-52.0,-264.0,212.0,-98.0,-185.0,87.0
-57.5,-230.0,172.5,-94.0,-157.0,63.0
-37.5,-211.0,173.5,-64.0,-141.0,77.0
-54.75,-203.0,148.25,-107.0,-142.0,35.0
-55.25,-121.5,66.25,-96.5,-114.5,18.0
-59.0,-221.0,162.0,-90.0,-134.0,44.0
-38.5,-124.5,86.0,-93.0,-108.5,15.5
-35.5,-214.0,178.5,-70.5,-115.5,45.0
-20.25,-142.0,121.75,-69.0,-93.0,24.0
-29.875,-268.0,238.125,-76.5,-163.0,86.5
