DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-62.25,-81.5,19.25,-112.5,-117.0,4.5
-60.5,-85.0,24.5,-100.0,-110.0,10.0
-69.5,-82.5,13.0,-120.5,-116.5,-4.0
-58.5,-73.0,14.5,-95.0,-106.0,11.0
-56.25,-84.0,27.75,-116.0,-116.5,0.5
-48.0,-59.0,11.0,-87.0,-93.0,6.0
-47.75,-83.0,35.25,-100.0,-104.0,4.0
-66.0,-91.0,25.0,-104.0,-108.0,4.0
-67.5,-97.0,29.5,-112.0,-115.0,3.0
-53.0,-83.0,30.0,-103.0,-106.0,3.0
-45.0,-59.0,14.0,-87.5,-93.5,6.0
-65.0,-74.5,9.5,-114.0,-106.5,-7.5
-59.5,-80.0,20.5,-106.0,-98.0,-8.0
-47.0,-51.25,4.25,-84.5,-88.5,4.0
-44.75,-77.5,32.75,-108.5,-95.5,-13.0
-59.75,-87.5,27.75,-117.5,-110.5,-7.0
-58.25,-97.0,38.75,-97.5,-117.5,20.0
-48.25,-83.0,34.75,-98.0,-130.0,32.0
-64.0,-80.0,16.0,-110.5,-102.5,-8.0
-66.0,-71.5,5.5,-112.0,-103.0,-9.0
-51.0,-91.5,40.5,-98.5,-115.0,16.5
-62.5,-101.5,39.0,-97.5,-120.0,22.5
-49.5,-102.5,53.0,-108.5,-126.5,18.0
-47.5,-88.5,41.0,-83.0,-109.5,26.5
-66.0,-93.5,27.5,-124.5,-113.5,-11.0
-51.75,-96.5,44.75,-102.0,-120.5,18.5
-63.0,-85.5,22.5,-106.0,-110.5,4.5
-46.5,-91.5,45.0,-99.5,-123.0,23.5
-56.75,-78.5,21.75,-109.0,-125.5,16.5
-45.75,-74.0,28.25,-95.0,-107.0,12.0
-49.5,-80.5,31.0,-113.0,-112.0,-1.0
-64.0,-86.5,22.5,-107.5,-104.0,-3.5
-51.75,-71.5,19.75,-107.5,-99.5,-8.0
-48.75,-90.5,41.75,-102.5,-117.0,14.5
-57.75,-67.5,9.75,-104.5,-108.0,3.5
-64.0,-85.5,21.5,-108.5,-117.5,9.0
-54.5,-65.5,11.0,-98.5,-86.0,-12.5
-45.5,-92.0,46.5,-84.0,-117.0,33.0
-53.0,-73.5,20.5,-108.5,-103.0,-5.5
-47.5,-86.0,38.5,-87.0,-120.0,33.0
-55.5,-75.0,19.5,-104.5,-99.5,-5.0
-63.0,-102.0,39.0,-121.5,-127.5,6.0
-50.5,-122.0,71.5,-98.0,-151.0,53.0
-54.25,-74.5,20.25,-103.5,-106.0,2.5
-51.0,-69.0,18.0,-91.0,-101.5,10.5
-57.5,-78.5,21.0,-87.5,-105.5,18.0
-69.5,-75.0,5.5,-113.0,-106.5,-6.5
-65.0,-62.75,-2.25,-106.5,-85.5,-21.0
-55.0,-75.5,20.5,-111.5,-109.5,-2.0
-56.5,-79.5,23.0,-101.0,-121.0,20.0
-40.75,-71.5,30.75,-87.5,-113.0,25.5
-56.75,-64.5,7.75,-105.5,-103.0,-2.5
-41.25,-64.0,22.75,-89.5,-87.5,-2.0
-55.75,-79.0,23.25,-102.0,-114.5,12.5
-39.0,-93.0,54.0,-85.0,-111.0,26.0
-53.75,-97.0,43.25,-103.0,-127.0,24.0
-47.25,-70.5,23.25,-89.5,-103.5,14.0
-53.0,-77.0,24.0,-95.0,-115.0,20.0
-53.5,-109.5,56.0,-108.0,-115.5,7.5
-60.75,-100.5,39.75,-101.5,-107.5,6.0
-49.75,-97.5,47.75,-91.5,-124.0,32.5
-46.25,-69.0,22.75,-96.5,-107.5,11.0
-54.5,-69.0,14.5,-86.5,-93.5,7.0
-48.5,-64.0,15.5,-92.0,-98.5,6.5
-41.25,-74.0,32.75,-81.5,-99.5,18.0
-52.5,-85.0,32.5,-102.0,-113.5,11.5
-52.5,-74.5,22.0,-96.5,-108.0,11.5
-55.25,-78.0,22.75,-98.5,-109.0,10.5
-58.5,-69.0,10.5,-109.0,-112.0,3.0
-67.0,-82.5,15.5,-119.5,-119.5,0.0
