DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-61.75,-65.0,3.25,-109.5,-112.5,3.0
-59.0,-80.5,21.5,-101.5,-102.5,1.0
-66.0,-95.0,29.0,-112.0,-125.0,13.0
-51.75,-70.5,18.75,-99.0,-96.5,-2.5
-63.25,-81.5,18.25,-113.0,-120.5,7.5
-45.75,-66.0,20.25,-87.0,-90.0,3.0
-61.0,-67.5,6.5,-96.0,-102.5,6.5
-62.25,-81.0,18.75,-99.5,-107.5,8.0
-62.75,-95.0,32.25,-106.0,-116.5,10.5
-54.75,-63.25,8.5,-101.0,-104.5,3.5
-51.0,-55.25,4.25,-92.0,-90.5,-1.5
-58.0,-92.0,34.0,-102.5,-118.0,15.5
-61.5,-86.0,24.5,-92.0,-109.0,17.0
-48.0,-63.75,15.75,-87.0,-88.0,1.0
-52.75,-63.25,10.5,-89.0,-109.5,20.5
-58.75,-76.5,17.75,-104.5,-117.0,12.5
-73.5,-77.5,4.0,-112.0,-100.0,-12.0
-68.0,-73.0,5.0,-120.5,-100.5,-20.0
-49.75,-83.5,33.75,-96.5,-110.5,14.0
-53.25,-94.0,40.75,-97.0,-112.5,15.5
-48.0,-62.0,14.0,-104.0,-98.5,-5.5
-68.0,-78.5,10.5,-116.5,-102.0,-14.5
-76.0,-57.75,-18.25,-119.5,-110.5,-9.0
-65.0,-64.5,-0.5,-105.5,-84.0,-21.5
-65.0,-76.5,11.5,-107.5,-126.0,18.5
-70.0,-61.5,-8.5,-112.0,-102.5,-9.5
-60.75,-77.0,16.25,-104.0,-108.0,4.0
-68.0,-56.5,-11.5,-115.5,-102.5,-13.0
-59.75,-83.0,23.25,-119.5,-112.0,-7.5
-56.25,-65.5,9.25,-103.5,-99.0,-4.5
-60.25,-62.75,2.5,-111.0,-114.0,3.0
-63.0,-82.0,19.0,-99.5,-109.0,9.5
-62.5,-63.0,0.5,-97.5,-110.5,13.0
-65.0,-74.0,9.0,-109.0,-105.5,-3.5
-56.75,-65.5,8.75,-104.0,-105.5,1.5
-60.5,-86.0,25.5,-111.0,-111.0,0.0
-44.75,-68.5,23.75,-80.0,-101.5,21.5
-61.25,-71.5,10.25,-109.5,-87.5,-22.0
-55.0,-66.5,11.5,-99.0,-108.0,9.0
-65.5,-75.5,10.0,-113.5,-90.0,-23.5
-51.75,-68.5,16.75,-92.0,-105.5,13.5
-67.5,-79.5,12.0,-122.5,-124.5,2.0
-88.5,-64.0,-24.5,-145.0,-100.0,-45.0
-56.25,-69.5,13.25,-100.0,-108.0,8.0
-54.25,-72.5,18.25,-98.5,-95.5,-3.0
-59.75,-67.0,7.25,-99.5,-88.5,-11.0
-53.5,-100.0,46.5,-99.5,-116.0,16.5
-47.5,-93.5,46.0,-81.5,-107.5,26.0
-57.75,-77.0,19.25,-104.5,-117.5,13.0
