DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-68.5,-226.0,157.5,-97.5,-163.0,65.5
-42.5,-239.0,196.5,-86.0,-224.0,138.0
-60.75,-111.0,50.25,-93.5,-109.5,16.0
-74.0,-249.0,175.0,-89.5,-187.0,97.5
-47.75,-262.0,214.25,-66.0,-223.0,157.0
-34.75,-147.0,112.25,-75.5,-121.0,45.5
-51.5,-194.0,142.5,-93.0,-178.0,85.0
-50.25,-237.0,186.75,-82.5,-202.0,119.5
-37.75,-197.0,159.25,-74.5,-179.0,104.5
-38.75,-212.0,173.25,-84.5,-145.0,60.5
-33.25,-243.0,209.75,-50.75,-264.0,213.25
-56.0,-222.0,166.0,-91.5,-209.0,117.5
-58.5,-177.0,118.5,-115.0,-173.0,58.0
-55.5,-165.0,109.5,-97.5,-87.0,-10.5
-70.5,-148.0,77.5,-100.5,-151.0,50.5
-52.0,-149.0,97.0,-101.0,-136.0,35.0
-62.75,-176.0,113.25,-80.0,-183.0,103.0
-34.75,-176.0,141.25,-97.5,-199.0,101.5
-82.5,-248.0,165.5,-122.5,-226.0,103.5
-44.25,-215.0,170.75,-79.0,-191.0,112.0
-37.0,-240.0,203.0,-89.0,-191.0,102.0
-49.25,-178.0,128.75,-124.5,-228.0,103.5
-34.25,-197.0,162.75,-82.5,-176.0,93.5
-74.0,-142.0,68.0,-111.0,-147.0,36.0
-44.5,-193.0,148.5,-112.5,-155.0,42.5
-56.75,-179.0,122.25,-130.0,-170.0,40.0
-61.5,-180.0,118.5,-119.5,-148.0,28.5
-42.25,-224.0,181.75,-70.5,-219.0,148.5
-63.75,-251.0,187.25,-121.0,-204.0,83.0
-45.75,-222.0,176.25,-124.0,-221.0,97.0
-45.25,-187.0,141.75,-81.0,-131.0,50.0
-39.75,-226.0,186.25,-102.0,-176.0,74.0
-37.75,-161.0,123.25,-78.0,-186.0,108.0
-61.0,-207.0,146.0,-100.0,-205.0,105.0
-52.25,-207.0,154.75,-117.0,-170.0,53.0
-61.5,-189.0,127.5,-79.5,-143.0,63.5
-56.5,-192.0,135.5,-111.0,-196.0,85.0
-50.0,-278.0,228.0,-91.5,-219.0,127.5
-58.75,-255.0,196.25,-113.5,-220.0,106.5
-33.5,-237.0,203.5,-78.5,-210.0,131.5
-50.25,-228.0,177.75,-88.5,-246.0,157.5
-46.5,-206.0,159.5,-81.0,-181.0,100.0
-49.0,-221.0,172.0,-91.0,-188.0,97.0
-35.75,-222.0,186.25,-88.0,-174.0,86.0
-56.25,-241.0,184.75,-104.5,-230.0,125.5
-29.875,-158.0,128.125,-77.0,-157.0,80.0
-22.625,-219.0,196.375,-64.5,-204.0,139.5
-75.0,-201.0,126.0,-101.0,-198.0,97.0
-47.5,-296.0,248.5,-74.0,-241.0,167.0
-55.75,-225.0,169.25,-109.0,-168.0,59.0
-50.5,-123.0,72.5,-108.5,-104.0,-4.5
-57.5,-210.0,152.5,-122.5,-198.0,75.5
-58.25,-233.0,174.75,-114.0,-181.0,67.0
-41.25,-203.0,161.75,-90.5,-112.5,22.0
-70.0,-173.0,103.0,-138.0,-164.0,26.0
