DPO Reward (Desired),DPO Reward (Undesired),DPO Reward Difference,Ref Reward (Desired),Ref Reward (Undesired),Ref Reward Difference
-92.5,-179.0,86.5,-140.0,-105.0,-35.0
-105.0,-183.0,78.0,-197.0,-94.0,-103.0
-31.75,-198.0,166.25,-95.0,-101.5,6.5
-99.0,-167.0,68.0,-150.0,-98.5,-51.5
-102.5,-170.0,67.5,-198.0,-76.0,-122.0
-48.75,-148.0,99.25,-100.5,-84.0,-16.5
-96.5,-147.0,50.5,-159.0,-99.0,-60.0
-108.5,-182.0,73.5,-182.0,-89.5,-92.5
-91.5,-147.0,55.5,-141.0,-87.0,-54.0
-66.0,-202.0,136.0,-119.0,-92.5,-26.5
-120.0,-173.0,53.0,-224.0,-57.0,-167.0
-103.0,-186.0,83.0,-190.0,-100.0,-90.0
-73.0,-198.0,125.0,-151.0,-122.5,-28.5
-49.75,-211.0,161.25,-74.0,-105.0,31.0
-66.0,-147.0,81.0,-139.0,-112.0,-27.0
-59.25,-173.0,113.75,-122.5,-101.0,-21.5
-72.0,-161.0,89.0,-167.0,-88.0,-79.0
-92.5,-198.0,105.5,-187.0,-98.0,-89.0
-119.0,-177.0,58.0,-203.0,-132.0,-71.0
-92.0,-169.0,77.0,-174.0,-89.5,-84.5
-94.0,-216.0,122.0,-174.0,-97.5,-76.5
-84.5,-227.0,142.5,-191.0,-132.0,-59.0
-78.5,-173.0,94.5,-157.0,-91.5,-65.5
-71.5,-200.0,128.5,-128.0,-115.0,-13.0
-92.5,-212.0,119.5,-136.0,-122.5,-13.5
-96.5,-149.0,52.5,-154.0,-133.0,-21.0
-77.0,-216.0,139.0,-139.0,-126.5,-12.5
-94.0,-167.0,73.0,-196.0,-81.5,-114.5
-99.5,-183.0,83.5,-176.0,-132.0,-44.0
-85.5,-210.0,124.5,-190.0,-123.0,-67.0
-62.25,-159.0,96.75,-118.5,-85.5,-33.0
-103.5,-190.0,86.5,-151.0,-107.5,-43.5
-80.0,-185.0,105.0,-157.0,-78.5,-78.5
-96.0,-164.0,68.0,-178.0,-105.0,-73.0
-74.0,-173.0,99.0,-151.0,-123.5,-27.5
-66.0,-202.0,136.0,-128.0,-81.0,-47.0
-95.0,-189.0,94.0,-178.0,-121.0,-57.0
-100.5,-190.0,89.5,-191.0,-91.5,-99.5
-99.0,-219.0,120.0,-206.0,-123.5,-82.5
-102.0,-144.0,42.0,-179.0,-86.0,-93.0
-111.5,-190.0,78.5,-220.0,-96.5,-123.5
-103.0,-182.0,79.0,-163.0,-88.0,-75.0
-87.0,-244.0,157.0,-164.0,-101.5,-62.5
-85.0,-172.0,87.0,-154.0,-95.0,-59.0
-103.0,-188.0,85.0,-199.0,-113.5,-85.5
-78.0,-192.0,114.0,-139.0,-81.5,-57.5
-99.0,-161.0,62.0,-179.0,-66.5,-112.5
-91.5,-166.0,74.5,-177.0,-101.0,-76.0
-107.0,-181.0,74.0,-219.0,-83.0,-136.0
-92.0,-188.0,96.0,-157.0,-116.0,-41.0
-47.25,-172.0,124.75,-82.5,-115.5,33.0
-89.5,-180.0,90.5,-181.0,-129.0,-52.0
-94.0,-208.0,114.0,-165.0,-123.5,-41.5
-39.0,-128.0,89.0,-102.0,-98.0,-4.0
-72.5,-188.0,115.5,-152.0,-150.0,-2.0
-95.0,-219.0,124.0,-179.0,-128.0,-51.0
-40.25,-209.0,168.75,-91.5,-101.0,9.5
-38.5,-207.0,168.5,-96.0,-119.5,23.5
-95.5,-246.0,150.5,-164.0,-120.5,-43.5
-66.5,-168.0,101.5,-138.0,-64.0,-74.0
-48.5,-125.5,77.0,-121.0,-81.0,-40.0
-99.5,-221.0,121.5,-161.0,-126.0,-35.0
-103.0,-186.0,83.0,-177.0,-177.0,0.0
-69.0,-213.0,144.0,-139.0,-112.0,-27.0
-95.0,-233.0,138.0,-160.0,-98.0,-62.0
-48.0,-166.0,118.0,-90.0,-97.5,7.5
-55.75,-130.0,74.25,-125.5,-119.5,-6.0
-62.25,-167.0,104.75,-117.0,-85.5,-31.5
-94.5,-117.5,23.0,-163.0,-76.5,-86.5
-73.0,-206.0,133.0,-155.0,-127.5,-27.5
-93.5,-190.0,96.5,-190.0,-139.0,-51.0
-93.5,-195.0,101.5,-177.0,-121.0,-56.0
-103.5,-212.0,108.5,-193.0,-111.0,-82.0
-101.5,-173.0,71.5,-177.0,-106.5,-70.5
-86.5,-212.0,125.5,-153.0,-121.5,-31.5
-92.5,-183.0,90.5,-207.0,-94.5,-112.5
-58.5,-156.0,97.5,-111.0,-98.0,-13.0
-109.0,-144.0,35.0,-186.0,-126.0,-60.0
-114.0,-195.0,81.0,-203.0,-96.0,-107.0
-100.0,-186.0,86.0,-170.0,-118.5,-51.5
-99.5,-160.0,60.5,-187.0,-103.5,-83.5
-91.5,-204.0,112.5,-155.0,-88.0,-67.0
-55.25,-191.0,135.75,-109.0,-121.5,12.5
-116.5,-172.0,55.5,-160.0,-90.5,-69.5
-58.25,-137.0,78.75,-92.0,-96.0,4.0
-67.0,-189.0,122.0,-134.0,-123.5,-10.5
-100.5,-197.0,96.5,-182.0,-117.0,-65.0
-95.0,-93.0,-2.0,-208.0,-80.5,-127.5
-77.0,-170.0,93.0,-159.0,-102.5,-56.5
-132.0,-166.0,34.0,-195.0,-116.0,-79.0
-104.5,-197.0,92.5,-176.0,-99.5,-76.5
-89.0,-240.0,151.0,-159.0,-116.0,-43.0
-44.5,-202.0,157.5,-94.0,-135.0,41.0
-94.0,-168.0,74.0,-174.0,-110.5,-63.5
-81.0,-221.0,140.0,-152.0,-134.0,-18.0
-92.5,-152.0,59.5,-181.0,-110.5,-70.5
-91.5,-234.0,142.5,-157.0,-110.5,-46.5
-108.0,-207.0,99.0,-204.0,-108.0,-96.0
-106.5,-198.0,91.5,-195.0,-111.5,-83.5
-90.5,-200.0,109.5,-164.0,-103.5,-60.5
