model_id,task,method,ablation,eval_variant,steer_variant,rf_mode,topk,max_accuracy,best_steering_factor
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.01,0.0,10.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.03,0.13333333333333333,6.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.05,1.0,10.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.07,0.9777777777777777,8.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.09,1.0,4.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.1,1.0,4.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_female-long_to_male-long,atp,steer,single,single,w_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.01,0.0,10.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.03,0.0,10.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.05,0.8775510204081632,4.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.07,0.1836734693877551,2.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.09,0.40816326530612246,4.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.1,0.42857142857142855,8.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.5,0.9183673469387755,1.0
OLMo-2-1124-13B-DPO,from_female-long_to_male-long,atp,steer,single,single,w_rf,1.0,0.5918367346938775,4.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.01,0.0,10.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.03,1.0,10.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.05,1.0,6.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.07,1.0,10.0
gemma-3-12b-it,from_female-long_to_male-long,atp,steer,single,single,w_rf,0.09,1.0,8.0
