model_id,method,ablation,task,eval_variant,steer_variant,rf_mode,steering_factor,topk,accuracy
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.03,0.1282051282051282
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.05,0.15384615384615385
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,10,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.03,0.6410256410256411
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.05,0.5128205128205128
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.07,0.1794871794871795
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,8,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.03,0.15384615384615385
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.05,0.9487179487179487
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.07,0.5128205128205128
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,6,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_female-long_to_male-long,single,single,w_rf,5,0.01,0.0
