model_id,method,ablation,task,eval_variant,steer_variant,rf_mode,x_axis,x_value,max_accuracy,maximised_over,argmax_value,n_contributing
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.01,0.8484848484848485,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.03,0.2727272727272727,steering factor,2.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.05,0.2727272727272727,steering factor,4.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.07,0.42424242424242425,steering factor,2.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.09,0.6666666666666666,steering factor,2.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.1,0.6363636363636364,steering factor,2.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.5,0.0,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,1.0,0.0,steering factor,10.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.01,0.36,steering factor,4.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.03,0.52,steering factor,5.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.05,0.6,steering factor,1.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.07,0.58,steering factor,1.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.09,0.64,steering factor,1.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.1,0.66,steering factor,1.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.5,0.28,steering factor,1.0,7
OLMo-2-1124-13B-DPO,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,1.0,0.06,steering factor,1.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.01,0.54,steering factor,10.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.03,0.52,steering factor,8.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.05,0.66,steering factor,5.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.07,0.66,steering factor,4.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.09,0.5,steering factor,6.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.1,0.54,steering factor,8.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.5,0.74,steering factor,2.0,7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,1.0,0.5,steering factor,5.0,7
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.01,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.03,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.05,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.07,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.09,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.1,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.5,,steering factor,,0
Qwen1.5-32B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,1.0,,steering factor,,0
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.01,0.5348837209302325,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.03,0.5116279069767442,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.05,0.6976744186046512,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.07,0.7441860465116279,steering factor,10.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.09,0.4883720930232558,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.1,0.4883720930232558,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,0.5,0.13953488372093023,steering factor,1.0,7
Falcon3-10B-Instruct,atp,steer,from_paragraph-long_to_sentence-long,single,single,mcqa,topk,1.0,0.0,steering factor,10.0,7
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence-long,single,long,mcqa,topk,0.01,0.7575757575757576,steering factor,6.0,7
