task,contrast,pool,variant,top_k,n_heads_long,n_heads_single,head_jaccard,n_shared_heads,ambient_dim,n_examples_long,n_examples_single,eff_rank_long,eff_rank_single,stable_rank_long,stable_rank_single,rank_a,rank_b,rank_joint,rank_sharing,grassmann_overlap,energy_b_in_a,energy_a_in_b,mean_principal_angle_deg,n_angles_cos_gt_0.9,n_angles_cos_gt_0.99,null_uniform_grassmann_overlap_mean,null_uniform_grassmann_overlap_std,null_uniform_grassmann_overlap_z,null_uniform_grassmann_overlap_pct,null_uniform_rank_sharing_mean,null_uniform_rank_sharing_std,null_uniform_rank_sharing_z,null_uniform_rank_sharing_pct,null_uniform_energy_b_in_a_mean,null_uniform_energy_b_in_a_std,null_uniform_energy_b_in_a_z,null_uniform_energy_b_in_a_pct,null_layer_matched_grassmann_overlap_mean,null_layer_matched_grassmann_overlap_std,null_layer_matched_grassmann_overlap_z,null_layer_matched_grassmann_overlap_pct,null_layer_matched_rank_sharing_mean,null_layer_matched_rank_sharing_std,null_layer_matched_rank_sharing_z,null_layer_matched_rank_sharing_pct,null_layer_matched_energy_b_in_a_mean,null_layer_matched_energy_b_in_a_std,null_layer_matched_energy_b_in_a_z,null_layer_matched_energy_b_in_a_pct
female-long|female-single,diff,last,all,0.005,8,8,0.0,0,5120,100,100,436.2059631347656,323.7878112792969,10.63451099395752,8.121200561523438,439,302,707,0.11258278145695365,0.12220948934555054,0.13234390318393707,0.09583646059036255,71.42333221435547,0,0,0.10075701884925366,0.023817481744050614,0.900702716048287,0.95,0.08325158579627559,0.025651763347808696,1.1434377926764898,0.95,0.10954312197864055,0.026800435459758763,0.8507615945096199,0.8,0.1287457287311554,0.023828104400178303,-0.2743079884086769,0.55,0.10867751619487516,0.027042228996772694,0.14441358597120657,0.85,0.14755050241947174,0.03385754375145305,-0.4491347437122354,0.5
female-long|female-single,diff,last,all,0.01,16,16,0.0,0,5120,100,100,806.6906127929688,735.75927734375,20.855268478393555,16.181833267211914,797,710,1374,0.18732394366197183,0.20237426459789276,0.2209034562110901,0.2039821296930313,65.85529327392578,0,0,0.18098919242620468,0.012377276277493372,1.7277688315461082,0.95,0.15787060680648385,0.00854179245654561,3.4481447547836135,1.0,0.19710516035556794,0.017504792010709494,1.3595303412324047,0.95,0.22287457212805747,0.01456315482519829,-1.4076831412032718,0.05,0.20828052323394788,0.017950135750677332,-1.1674886398107198,0.1,0.25226358622312545,0.02075267392950545,-1.5111368355982593,0.1
female-long|female-single,diff,last,all,0.015,24,24,0.0,0,5120,100,100,1193.4150390625,1082.8475341796875,29.21088981628418,24.18838882446289,1166,1036,1914,0.277992277992278,0.28503742814064026,0.31198063492774963,0.2906464636325836,60.13187026977539,1,0,0.2550444364547729,0.014450542654845796,2.07556161746006,0.95,0.2475216830530289,0.014772388749048956,2.062672155253887,0.9,0.2726085871458054,0.015665320776534018,2.5133253473444284,1.0,0.2945090726017952,0.0209106686192373,-0.4529575133930088,0.35,0.29198275832766485,0.023153573558850307,-0.6042471284109439,0.4,0.34107029139995576,0.029293127640403246,-0.9930539623253996,0.1
female-long|female-single,diff,last,all,0.02,32,32,0.06666666666666667,4,5120,100,100,1566.368896484375,1460.8345947265625,36.68540573120117,32.14467239379883,1516,1391,2353,0.398274622573688,0.3836210072040558,0.42560574412345886,0.41966405510902405,53.424564361572266,154,12,0.3266969069838524,0.016609201957954272,3.4272628127651856,1.0,0.33424798743891604,0.01684556653366181,3.8008003474878778,1.0,0.3497593209147453,0.02036503263494059,3.7243457728902776,1.0,0.36406775414943693,0.015040547611800015,1.3000359800249834,0.9,0.3800661538841075,0.01623051916885631,1.1218660660294546,0.85,0.41226930171251297,0.020833004748904597,0.6401593323520518,0.8
female-long|female-single,diff,last,disjoint,0.02,28,28,0.06666666666666667,4,5120,100,100,1396.518798828125,1284.28759765625,33.07899856567383,28.186168670654297,1360,1227,2204,0.3121434392828036,0.3131316304206848,0.3422817885875702,0.32056522369384766,58.295894622802734,15,0,0.2970524787902832,0.012136253015992216,1.3248859931655816,0.95,0.2955035889799818,0.012307604231035277,1.3519975123072419,0.9,0.315929539501667,0.019746541833954585,1.3345247642597313,0.9,0.3258377477526665,0.015453395761846534,-0.8222216998643295,0.2,0.3328567858293144,0.01608178545493173,-1.2880004278479373,0.1,0.37055081576108934,0.021312071851303873,-1.326432613907955,0.1
female-long|female-single,diff,last,all,0.025,40,40,0.05263157894736842,4,5120,100,100,1798.65234375,1817.7381591796875,40.26806640625,40.03860855102539,1709,1727,2683,0.44060854300760677,0.41026416420936584,0.45354270935058594,0.47657129168510437,51.902381896972656,258,16,0.39671921730041504,0.011159633275904685,1.2137448045175794,0.9,0.4212626927837718,0.011612681024062606,1.665924534028659,0.95,0.41803605407476424,0.021017555941396305,1.6893807907458724,0.9,0.4101087301969528,0.013683951070974061,0.011358854734779513,0.5,0.4418834577157357,0.015280522685461416,-0.08343397240867399,0.55,0.46704249680042265,0.015474230158568678,-0.872404462871541,0.2
female-long|female-single,diff,last,disjoint,0.025,36,36,0.05263157894736842,4,5120,100,100,1643.993896484375,1657.113037109375,36.41473388671875,36.111412048339844,1568,1580,2562,0.3737244897959184,0.3548262417316437,0.38721024990081787,0.39948970079421997,55.8676872253418,110,0,0.3613836273550987,0.017858691322412308,-0.367181755094543,0.3,0.3773316649461537,0.016029515714571015,-0.22503332068581325,0.4,0.3819129019975662,0.018860976088262576,0.2808628714898936,0.5,0.38059506118297576,0.013881895326907574,-1.8562897100501707,0.1,0.40360240106250805,0.01351213780215697,-2.2111905387628745,0.05,0.4277662292122841,0.022943719823686533,-1.7676287726281075,0.0
female-long|female-single,diff,last,all,0.03,48,48,0.054945054945054944,5,5120,100,100,2115.79931640625,2127.441650390625,48.12015151977539,37.116363525390625,2006,2015,3006,0.5059820538384845,0.46282288432121277,0.5195825695991516,0.5280855894088745,48.15299987792969,445,45,0.4446655258536339,0.01243757065667294,1.4598798245087505,0.9,0.4858180614208233,0.011010688266486912,1.8313108072484519,0.95,0.4707936629652977,0.015330065204199734,3.1825635432058053,1.0,0.4626274064183235,0.014274192889478976,0.013694497783713077,0.65,0.5092418017724846,0.013561587232225957,-0.2403662549361513,0.5,0.5224727392196655,0.018589057108981236,-0.15547693482083827,0.35
female-long|female-single,diff,last,disjoint,0.03,43,43,0.054945054945054944,5,5120,100,100,1936.3031005859375,1938.6949462890625,43.326541900634766,33.87330627441406,1839,1840,2877,0.43610657966286026,0.4044957458972931,0.45071038603782654,0.45122602581977844,52.47174835205078,255,0,0.41183981001377107,0.014100227812734161,-0.5208471958052638,0.35,0.4432785887247057,0.013251698683394186,-0.5412143177412234,0.3,0.43472874313592913,0.017936899513485174,0.8909924978886244,0.85,0.42760790288448336,0.014468148845839114,-1.597450871805005,0.05,0.4648731253934396,0.014535615552937507,-1.9790387015819164,0.0,0.4803230792284012,0.019736995678829476,-1.5003647805596951,0.1
female-long|female-single,diff,last,all,0.05,80,80,0.08108108108108109,12,5120,100,100,2777.0615234375,2789.598388671875,70.11505889892578,56.39970779418945,2778,2783,3660,0.6843052555795537,0.6035494804382324,0.6732869744300842,0.6757909059524536,36.36470031738281,1176,598,0.6039148718118668,0.010189902787726735,-0.03585818051909537,0.5,0.6850966957718584,0.009708764726663223,-0.08151811425929074,0.5,0.63220334649086,0.01110930745082458,3.6981268293348806,1.0,0.5982764452695847,0.010990245930589832,0.47979228144212666,0.7,0.679436698120024,0.010315642217910691,0.47195873574177716,0.75,0.6609257638454438,0.012619247391189435,0.9795521239460656,0.85
