task,contrast,pool,variant,top_k,n_heads_long,n_heads_single,head_jaccard,n_shared_heads,ambient_dim,n_examples_long,n_examples_single,eff_rank_long,eff_rank_single,stable_rank_long,stable_rank_single,rank_a,rank_b,rank_joint,rank_sharing,grassmann_overlap,energy_b_in_a,energy_a_in_b,mean_principal_angle_deg,n_angles_cos_gt_0.9,n_angles_cos_gt_0.99,null_uniform_grassmann_overlap_mean,null_uniform_grassmann_overlap_std,null_uniform_grassmann_overlap_z,null_uniform_grassmann_overlap_pct,null_uniform_rank_sharing_mean,null_uniform_rank_sharing_std,null_uniform_rank_sharing_z,null_uniform_rank_sharing_pct,null_uniform_energy_b_in_a_mean,null_uniform_energy_b_in_a_std,null_uniform_energy_b_in_a_z,null_uniform_energy_b_in_a_pct,null_layer_matched_grassmann_overlap_mean,null_layer_matched_grassmann_overlap_std,null_layer_matched_grassmann_overlap_z,null_layer_matched_grassmann_overlap_pct,null_layer_matched_rank_sharing_mean,null_layer_matched_rank_sharing_std,null_layer_matched_rank_sharing_z,null_layer_matched_rank_sharing_pct,null_layer_matched_energy_b_in_a_mean,null_layer_matched_energy_b_in_a_std,null_layer_matched_energy_b_in_a_z,null_layer_matched_energy_b_in_a_pct
female-long|female-single,diff,mean,all,0.005,8,8,0.0,0,5120,16,16,67.1509780883789,38.92217254638672,9.820038795471191,8.331633567810059,64,37,98,0.08108108108108109,0.02720535360276699,0.03424066677689552,0.023632781580090523,81.6237564086914,0,0,0.016759083792567252,0.00952731752404312,1.0964544620075432,0.95,0.04617692521447072,0.02133193546618422,1.6362395208789695,0.95,0.020912498608231543,0.012941401870465215,1.0298859661472564,0.8,0.027413901500403882,0.013223220436474014,-0.015771339413025873,0.7,0.056172161761033415,0.022967352445120503,1.084535946385917,0.85,0.03542247894220054,0.019266452265713385,-0.061340414364100246,0.65
female-long|female-single,diff,mean,all,0.01,16,16,0.0,0,5120,16,16,126.54121398925781,75.02149963378906,15.607372283935547,16.282466888427734,118,70,183,0.07142857142857142,0.04119193181395531,0.04959823191165924,0.03510758653283119,79.5196533203125,0,0,0.02785555338487029,0.003940753906347934,3.3842200619536813,1.0,0.04813788567631355,0.014568575841533026,1.5986933798881906,0.95,0.033608253300189975,0.00773131028258745,2.0682106948264756,1.0,0.050391702353954314,0.011559968182623507,-0.7958300918014414,0.2,0.057314278296188834,0.012575278640262855,1.1223841265188512,0.85,0.06427787821739912,0.01619639107871184,-0.9063529174122295,0.2
female-long|female-single,diff,mean,all,0.015,24,24,0.0,0,5120,16,16,178.12161254882812,111.70929718017578,14.839007377624512,18.952503204345703,165,105,262,0.0761904761904762,0.05685685575008392,0.0698249489068985,0.06033369526267052,77.7150650024414,0,0,0.040374398417770865,0.004631525858448369,3.5587531703504145,1.0,0.05121071429540097,0.007037530346230137,3.549506810788586,1.0,0.050436532124876976,0.01224958033978981,1.5827821234857264,0.9,0.06681308820843697,0.01216376929184901,-0.8185153976099132,0.15,0.06645253037916377,0.010022587038408737,0.9716000244242831,0.85,0.09380956329405307,0.021793035904991626,-1.1005632483568282,0.2
female-long|female-single,diff,mean,all,0.02,32,32,0.06666666666666667,4,5120,16,16,239.54782104492188,151.96389770507812,16.576040267944336,21.624542236328125,223,143,353,0.09090909090909091,0.09696915000677109,0.11550097167491913,0.10272683948278427,74.20806884765625,0,0,0.05397567246109247,0.0065519593380407555,6.561926795860585,1.0,0.0616977006726208,0.010827607794470982,2.697861872258306,0.95,0.0660050144419074,0.013801875322339903,3.5861762316383845,1.0,0.0858801119029522,0.009656859158703648,1.1483069103088694,0.85,0.07715467065453048,0.00895904510711535,1.5352551628115538,0.95,0.11400283724069596,0.017155307109536753,0.08732775371828501,0.6
female-long|female-single,diff,mean,disjoint,0.02,28,28,0.06666666666666667,4,5120,16,16,208.78713989257812,130.5819091796875,17.655229568481445,19.098779678344727,195,122,307,0.08196721311475409,0.06413194537162781,0.08029495924711227,0.061984945088624954,76.95039367675781,0,0,0.0510800551623106,0.006538722300264017,1.9960918372065142,0.95,0.06221088923916061,0.009582876750805451,2.0616276708278582,0.95,0.06634147223085166,0.013611279275717602,1.025141482560975,0.85,0.07589594908058643,0.011091693521720927,-1.0606138445784774,0.1,0.06952191947443744,0.012565197054027403,0.9904574983428283,0.75,0.09922401867806911,0.01733991960238365,-1.091646320456684,0.2
female-long|female-single,diff,mean,all,0.025,40,40,0.05263157894736842,4,5120,16,16,290.4884033203125,190.424560546875,18.174806594848633,26.954273223876953,268,177,428,0.096045197740113,0.10252636671066284,0.12108919024467468,0.10724328458309174,73.53990173339844,0,0,0.06879390571266412,0.00977212029115413,3.4519080806377143,1.0,0.06940338199402338,0.012416225269653788,2.1457258681673785,0.95,0.08661452122032642,0.019817302150808472,1.7396247361017212,0.9,0.09968421570956706,0.008119065618576622,0.35005887803060315,0.65,0.08259420954621195,0.009722011415028799,1.3835602140013739,0.95,0.13579832017421722,0.014220031394218027,-1.034395039066045,0.2
female-long|female-single,diff,mean,disjoint,0.025,36,36,0.05263157894736842,4,5120,16,16,260.0586853027344,169.1308135986328,19.629070281982422,24.486982345581055,240,156,383,0.08333333333333333,0.07468555867671967,0.0912691280245781,0.0720478817820549,75.80498504638672,0,0,0.06092738471925259,0.007251696084937142,1.8972353220986278,0.95,0.06338753055824257,0.007076090733546787,2.8187601779228757,1.0,0.07371326759457589,0.009453413220757706,1.8570922501782987,0.95,0.08937635906040668,0.008310504968456934,-1.7677385958430818,0.0,0.0795321343483766,0.0069334381604599475,0.5482415645724271,0.65,0.11968063935637474,0.019971859003996503,-1.4225772035598345,0.05
female-long|female-single,diff,mean,all,0.03,48,48,0.054945054945054944,5,5120,16,16,339.51544189453125,226.4122772216797,20.92626953125,27.388813018798828,310,211,498,0.10900473933649289,0.11412760615348816,0.14740397036075592,0.11776922643184662,72.48298645019531,0,0,0.0790629394352436,0.00785073819428163,4.466416514027328,1.0,0.07722998700493794,0.008956420720377445,3.5477065363021367,1.0,0.09793752320110798,0.015833680828229644,3.1241280973312864,1.0,0.11518481560051441,0.01045412980882622,-0.10112840249349794,0.45,0.09667887173503463,0.008080163383688931,1.52544781784239,0.95,0.15413683094084263,0.01939095905971132,-0.34721648162702806,0.35
female-long|female-single,diff,mean,disjoint,0.03,43,43,0.054945054945054944,5,5120,16,16,301.6168518066406,200.91189575195312,22.136638641357422,26.732261657714844,275,186,444,0.0913978494623656,0.08331387490034103,0.11077216267585754,0.08152159303426743,74.9390640258789,0,0,0.07054733000695705,0.006903195857957955,1.8493673301572056,0.95,0.07064999863877192,0.011147065581230966,1.8612836420849783,0.95,0.08722852244973182,0.012199801059730711,1.92983804496935,1.0,0.10042628943920136,0.009191168042300116,-1.8618324091241283,0.05,0.08673620419997366,0.008298100971013151,0.5617725403289198,0.65,0.13585808165371419,0.019606537250227304,-1.2794670806832968,0.1
female-long|female-single,diff,mean,all,0.05,80,80,0.08108108108108109,12,5120,16,16,546.1166381835938,386.97283935546875,28.595014572143555,35.04087829589844,491,364,805,0.13736263736263737,0.1597728729248047,0.21319739520549774,0.1770056188106537,68.78077697753906,3,0,0.12263856083154678,0.006498308304348046,5.714458341167219,1.0,0.11116822137456865,0.008532813779159128,3.0698450318987356,1.0,0.14684252440929413,0.010514645111502465,6.310709500182265,1.0,0.16474707797169685,0.007665177876455854,-0.6489353707199406,0.25,0.13657683893048003,0.007531093558185165,0.10434054843247795,0.5,0.21343008205294609,0.012734275827160269,-0.018272483697271413,0.5
female-long|female-single,diff,mean,disjoint,0.05,68,68,0.08108108108108109,12,5120,16,16,464.89801025390625,330.2769470214844,30.139772415161133,35.558773040771484,417,311,694,0.10932475884244373,0.11404313147068024,0.14504337310791016,0.11115094274282455,72.23783874511719,0,0,0.1069814495742321,0.007423270827112881,0.9512898102351232,0.7,0.0978066411111606,0.008426880481358017,1.3668305557155547,0.95,0.1310585204511881,0.013933496764039576,1.003685786386015,0.9,0.14282634407281875,0.006946634017695442,-4.143476182683278,0.0,0.1181104066815061,0.0045457837485608785,-1.9327025492235002,0.0,0.1879967786371708,0.01449239945610566,-2.9638574108695526,0.0
female-long|female-single,diff,mean,all,0.07,112,112,0.09803921568627451,20,5120,16,16,743.2493286132812,530.6690063476562,33.941131591796875,43.96088409423828,660,495,1070,0.1717171717171717,0.2023937851190567,0.25621792674064636,0.2149166762828827,65.55142974853516,5,0,0.16404163911938668,0.006865647419584243,5.586093146914392,1.0,0.14397931595804775,0.007449526090766746,3.7234389706351148,1.0,0.1922628663480282,0.009519877963832312,6.718054646876218,1.0,0.20059735029935838,0.007880915524513407,0.2279474781972416,0.65,0.16894679665164442,0.006506706105405032,0.4257722756566467,0.75,0.25667370334267614,0.01351727889058036,-0.03371807341693529,0.55
female-long|female-single,diff,mean,disjoint,0.07,92,92,0.09803921568627451,20,5120,16,16,608.6114501953125,436.4793395996094,33.25916290283203,42.26872253417969,540,408,895,0.12990196078431374,0.14325585961341858,0.1779213845729828,0.14497427642345428,69.83228302001953,1,0,0.13396773710846901,0.007075699552368997,1.3126790413026839,1.0,0.1193583434207796,0.006268568700584358,1.6819816240589751,1.0,0.15773319825530052,0.011851521264989817,1.7034257346623942,1.0,0.17318987250328063,0.007147709321327909,-4.187916931728399,0.0,0.1445519072933879,0.005685437485936274,-2.5767492027329233,0.0,0.21974976360797882,0.013615904727586574,-3.072023480764332,0.0
female-long|female-single,diff,mean,all,0.09,144,144,0.125,32,5120,16,16,936.0327758789062,678.013671875,41.70606231689453,53.60228729248047,825,627,1324,0.20414673046251994,0.23813016712665558,0.29675769805908203,0.25543761253356934,62.97468566894531,10,0,0.20305627584457397,0.0071912304988778425,4.877314291004122,1.0,0.17999088426880253,0.008858360680148336,2.726898019387591,0.95,0.24036883041262627,0.0073943195496996746,7.625971161706966,1.0,0.23524415642023086,0.004992378512108827,0.5780833122778667,0.65,0.20042037461504963,0.005063551365453669,0.7359174576352776,0.85,0.29593983888626096,0.0110113859798037,0.07427395373490005,0.55
female-long|female-single,diff,mean,disjoint,0.09,112,112,0.125,32,5120,16,16,735.4618530273438,533.7869873046875,41.06972885131836,49.4222297668457,648,495,1070,0.14747474747474748,0.165094792842865,0.19861304759979248,0.16408205032348633,68.13578796386719,1,0,0.16404163911938668,0.006865647419584243,0.1533946704682486,0.55,0.14397931595804775,0.007449526090766746,0.46921528619546893,0.7,0.1922628663480282,0.009519877963832312,0.667044396565769,0.75,0.19282529205083848,0.005036364400199282,-5.506054964346153,0.0,0.16375665612179907,0.005883525739233544,-2.7673727232087644,0.0,0.24068234190344812,0.007456267374999134,-5.64213864496249,0.0
female-long|female-single,diff,mean,all,0.1,160,160,0.1387900355871886,39,5120,16,16,1018.8280639648438,747.6947631835938,42.45901870727539,53.77497100830078,895,691,1434,0.2199710564399421,0.25613147020339966,0.3247924745082855,0.2803560793399811,61.7457160949707,13,0,0.21884521543979646,0.005339597932764135,6.982970484502627,1.0,0.19272738515668558,0.005995045256014912,4.544364574382916,1.0,0.25671241506934167,0.00868476132924877,7.839024799640955,1.0,0.25548243671655657,0.005573829335689511,0.11644301390559139,0.6,0.2219669632412616,0.005213438724938276,-0.38283883375710587,0.4,0.320689269900322,0.008900439795493428,0.46101144463008686,0.7
female-long|female-single,diff,mean,disjoint,0.1,121,121,0.1387900355871886,39,5120,16,16,783.0249633789062,575.7295532226562,41.11880111694336,52.3316764831543,688,534,1140,0.15355805243445692,0.1736486554145813,0.20868530869483948,0.17563025653362274,67.5313720703125,1,0,0.17055877670645714,0.006876421853245027,0.44934397191848074,0.65,0.1507902746245131,0.0075089202921466485,0.36859864031830786,0.65,0.2023120827972889,0.012059451716473041,0.5284838852868273,0.7,0.19798336923122406,0.004689314798458067,-5.1893965030124365,0.0,0.16680278046853914,0.0036703922356246927,-3.608532054293646,0.0,0.24588260054588318,0.009329170427316721,-3.9872025214724776,0.0
female-long|female-single,diff,mean,all,0.5,800,800,0.34115674769488685,407,5120,16,16,3088.80224609375,2858.67822265625,92.73059844970703,82.35641479492188,2998,2655,3853,0.6779661016949152,0.6308392286300659,0.7046464085578918,0.6500484347343445,33.83131790161133,1165,621,0.6452994376420975,0.004054275871207092,-3.5666564070605085,0.0,0.6957132111690159,0.004481322433935978,-3.9602393569599093,0.0,0.7140690892934799,0.003985397361451747,-2.3643014437475527,0.0,0.6310935020446777,0.0025289582187674846,-0.10054472736039875,0.5,0.6792329795644891,0.0026830001855676746,-0.47218702271757906,0.2,0.7017136186361312,0.0027381350775762888,1.0710903000288128,0.85
female-long|female-single,diff,mean,disjoint,0.5,393,393,0.34115674769488685,407,5120,16,16,2120.681884765625,1739.6763916015625,86.75799560546875,77.65435791015625,1874,1590,2841,0.3918238993710692,0.3931148648262024,0.43294021487236023,0.3734211027622223,52.712249755859375,144,0,0.4337212786078453,0.004392058303408156,-9.245417746420419,0.0,0.43170846188201784,0.005618504488691749,-7.098786267987057,0.0,0.49402342438697816,0.005919123667740296,-10.319637321910736,0.0,0.4100347518920898,0.004899342265949653,-3.453501745220039,0.0,0.40518860383382227,0.005063873631925739,-2.639225508806902,0.0,0.46611224561929704,0.006415985803405151,-5.170215733540346,0.0
female-long|female-single,diff,mean,all,1.0,1600,1600,1.0,1600,5120,16,16,3910.783203125,3765.596923828125,90.8724365234375,76.23887634277344,4061,3799,4496,0.8854961832061069,0.8204668760299683,0.8794063329696655,0.8447902798652649,15.340785026550293,2749,2740,0.8204669207334518,5.0705451322996656e-08,-0.881630720467888,0.05,0.8854961832061068,1.1390647892519134e-16,0.9746794344808966,0.0,0.8794063031673431,5.960464477539063e-08,0.5,0.6,0.8204669296741486,5.079755939404907e-08,-1.056038537283357,0.0,0.8854961832061068,1.1390647892519134e-16,0.9746794344808966,0.0,0.8794063061475754,8.750447361402383e-08,0.3065225010418009,0.4
