layer,privilege,induction
0,0.3182998299598694,0.6444437503814697
1,0.5622585415840149,0.5465235710144043
2,0.5504258871078491,0.42061716318130493
3,0.5152007341384888,0.40986868739128113
4,0.7568507194519043,0.35754817724227905
5,0.8138436675071716,0.4404281675815582
6,0.9540384411811829,0.5349223613739014
7,1.9947494268417358,0.8480919599533081
8,1.8918933868408203,0.7540736198425293
9,2.4646530151367188,0.9233055114746094
10,2.280907392501831,0.9349981546401978
11,2.188107490539551,1.5670957565307617
12,4.6271562576293945,1.4387719631195068
13,4.150190353393555,2.058448314666748
14,3.3667140007019043,1.2132766246795654
15,4.466220378875732,1.278404951095581
16,4.7250566482543945,1.5381386280059814
17,6.788410186767578,1.9603769779205322
18,6.210567474365234,1.6246089935302734
19,5.817140579223633,2.61868953704834
20,5.958491802215576,1.572747826576233
21,5.1821818351745605,3.7356748580932617
22,1.3046990633010864,0.434086412191391
23,8.070719718933105,5.385988235473633
