layer,privilege,position
0,0.33030229806900024,0.1050761267542839
1,0.36966997385025024,0.11498980224132538
2,0.33103594183921814,0.1276887208223343
3,0.3520660400390625,0.10953901708126068
4,0.2750970125198364,0.17457640171051025
5,0.3824760913848877,0.1520078033208847
6,0.5524817705154419,0.18565522134304047
7,0.8592472076416016,0.3982420265674591
8,0.6393863558769226,0.3115924000740051
9,0.8095062971115112,0.46690693497657776
10,0.6327337622642517,0.4334065318107605
11,1.2246062755584717,0.9019426107406616
12,2.5127415657043457,0.82908034324646
13,2.833437204360962,1.220034122467041
14,1.300041913986206,1.1810780763626099
15,2.08815336227417,1.7984064817428589
16,3.321403980255127,1.4879831075668335
17,4.595975875854492,2.972541332244873
18,2.5105533599853516,1.556786298751831
19,2.938504695892334,1.5697715282440186
20,1.7238786220550537,1.2810901403427124
21,2.225332021713257,1.051044225692749
22,0.360498309135437,0.33371588587760925
23,3.0255043506622314,2.0211544036865234
