layer,privilege,position
0,0.26247626543045044,0.15930664539337158
1,0.36789843440055847,0.1518998146057129
2,0.3393908739089966,0.14074693620204926
3,0.33787062764167786,0.17611326277256012
4,0.3298588693141937,0.19689612090587616
5,0.4032014012336731,0.1929362416267395
6,0.5217901468276978,0.1953107714653015
7,0.879229724407196,0.43921080231666565
8,0.7768815755844116,0.47990691661834717
9,0.8828387260437012,0.4957748055458069
10,0.9012808799743652,0.4248892068862915
11,1.3911237716674805,0.9252801537513733
12,3.3122060298919678,0.9910069704055786
13,3.6705846786499023,1.1100099086761475
14,1.8959558010101318,1.1271538734436035
15,2.5677435398101807,1.729718804359436
16,2.656221389770508,1.3595397472381592
17,2.6220879554748535,2.8424386978149414
18,1.2913875579833984,0.8941031098365784
19,1.7016501426696777,0.8270370960235596
20,0.754048764705658,0.8638161420822144
21,0.8791305422782898,0.6078296303749084
22,0.20696601271629333,0.30757415294647217
23,1.2137854099273682,1.1662123203277588
