model_id,method,ablation,task,steering_factor,topk,accuracy
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,10,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,10,0.03,0.28
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,10,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,10,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,10,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,10,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,10,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,10,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,8,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,8,0.03,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,8,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,8,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,8,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,8,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,8,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,8,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,6,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,6,0.03,0.16
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,6,0.05,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,6,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,6,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,6,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,6,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,6,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,5,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,5,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,5,0.05,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,5,0.07,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,5,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,5,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,5,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,5,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,4,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,4,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,4,0.05,0.28
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,4,0.07,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,4,0.09,1.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,4,0.1,0.86
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,4,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,4,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,2,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,2,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,2,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,2,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,2,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,2,0.1,0.02
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,2,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,2,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,1,0.01,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,1,0.03,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,1,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,1,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,1,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,1,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,1,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-long_to_pro-long,1,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,10,0.01,0.22
Qwen1.5-14B-Chat,atp,steer,from_anti-single_to_pro-single,10,0.03,1.0
